order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0294	0.3166	0.043	0.466	0	0	-62.2	93.5
0	0	0	0	0	0	0	0	0	0
1	1	0.0183	0.4122	0.081	1.311	0.124	23.9	-170.2	67.3
0	0	0	0	0	0	0	0	0	0
2	3	0.0177	0.034	0.0081	0.156	0.23	16.6	-171.3	67.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0154	0.0535	0.0117	0.205	0.178	18.9	-12.3	106
2	3	0.0274	0.0857	0.0125	0.145	0.186	50	-121.5	119.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0246	0.8967	0.1467	1.918	0.303	87.3	25.1	64
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	13	0.0234	0.0436	0.0074	0.101	0.439	104.6	128.2	35.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	10	0.0205	0.0449	0.0088	0.136	0.145	80.9	-164.8	29.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	13	0.0154	0.0632	0.0146	0.271	0.492	59.4	-20.5	100.9
4	22	0.0147	0.0266	0.0072	0.157	0.491	43.8	-34.5	59.2
0	0	0	0	0	0	0	0	0	0
3	13	0.0172	0.0302	0.007	0.13	0.417	36.9	3.7	84.4
0	0	0	0	0	0	0	0	0	0
3	13	0.0169	0.0189	0.0045	0.085	0.289	38.4	28.5	57.6
0	0	0	0	0	0	0	0	0	0
3	13	0.0084	0.005	0.0025	0.104	0.235	50.8	-29.1	108
1	1	0.028	0.0528	0.0079	0.095	0.008	158.6	126.3	66.8
2	3	0.0236	0.138	0.0263	0.408	0.181	82.1	122.5	74.5
3	5	0.0279	0.0373	0.0054	0.061	0.258	83.9	113	102.1
3	13	0.0234	0.0705	0.012	0.164	0.453	103	165.5	31.3
