order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0253	0.3893	0.0528	0.588	0	0	15.9	34.7
0	0	0	0	0	0	0	0	0	0
1	1	0.0236	0.0792	0.014	0.198	0.25	62.9	132	127.3
0	0	0	0	0	0	0	0	0	0
1	1	0.0248	0.0338	0.0054	0.068	0.197	64.1	74.1	95.1
1	1	0.0177	0.0158	0.0036	0.064	0.249	83	94.1	127.3
1	1	0.0232	0.1598	0.0291	0.423	0.335	79.1	52.1	48.8
2	7	0.0219	0.0594	0.0118	0.189	0.335	99.4	-80.5	51
3	8	0.027	0.0382	0.0057	0.067	0.356	49.5	-5.3	27.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0267	0.1489	0.0226	0.273	0.167	176.1	-160.4	123.6
