order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0577	0.83	0.0632	0.393	0	0	-126.6	60.6
1	1	0.0395	0.3061	0.0342	0.305	0.033	63.5	121.7	7.2
1	1	0.0321	0.2132	0.0296	0.333	0.15	42.9	-148.8	73.6
2	63	0.0253	0.1693	0.0267	0.336	0.257	52.6	38.7	165.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	63	0.0263	0.0691	0.0105	0.127	0.182	58.2	-171.1	44.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	63	0.0245	0.0397	0.0065	0.084	0.339	48.5	-136.1	83.5
0	0	0	0	0	0	0	0	0	0
3	64	0.0157	0.0214	0.0054	0.11	0.279	25.7	60.8	123.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0222	0.055	0.0099	0.142	0.147	12.9	68	85.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	63	0.02	0.0191	0.0038	0.061	0.262	130.2	-0.1	121.3
2	63	0.0213	0.2959	0.0469	0.603	0.277	90.9	88.2	86.2
2	63	0.0081	0.0129	0.0061	0.231	0.31	115	147.7	38.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	26	0.0203	0.0496	0.0098	0.154	0.288	24.7	60	56.7
3	26	0.0203	0.0486	0.0096	0.151	0.293	58.7	-155.3	25
3	26	0.0203	0.0616	0.0122	0.191	0.275	31	-46.2	98.8
3	26	0.031	0.0522	0.0067	0.069	0.249	110.2	48.7	61.2
3	26	0.0284	0.1076	0.0158	0.184	0.226	65.3	51.6	123.8
3	26	0.0281	0.1071	0.0152	0.172	0.117	149.7	125.2	79.6
3	27	0.035	0.0813	0.0093	0.084	0.31	81.4	-85.5	54.2
3	27	0.0077	0.006	0.0031	0.129	0.344	76.4	143	115.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	63	0.014	0.0251	0.0076	0.197	0.442	158	-90.8	145.4
2	63	0.008	0.0021	0.0011	0.042	0.405	59.3	-164.7	86.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	63	0.0347	0.3117	0.0359	0.329	0.48	160.8	-152	87.3
0	0	0	0	0	0	0	0	0	0
3	56	0.0222	0.0224	0.004	0.058	0.525	46	132.2	46
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0446	0.9461	0.102	0.931	0.108	148.2	127.5	77.4
2	63	0.031	0.2662	0.0344	0.354	0.241	105.2	-55.8	73.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	64	0.0294	0.1784	0.0242	0.262	0.266	133	-163.1	110.9
