order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.037	0.172	0.0287	0.416	0	0	-74.4	9.3
1	1	0.0232	0.1965	0.0317	0.425	0.019	59.3	-156	96.7
1	1	0.018	0.0514	0.0128	0.268	0.12	98.3	52.1	77.9
1	1	0.0249	0.0503	0.0081	0.104	0.146	139	-82.8	128.1
1	1	0.0152	0.0219	0.0055	0.109	0.149	116.8	56.1	90.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0144	0.0144	0.004	0.089	0.14	60.3	-46.7	91.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0134	0.0771	0.0255	0.685	0.162	114.3	67.2	68.9
0	0	0	0	0	0	0	0	0	0
2	16	0.005	0.002	0.0016	0.101	0.173	56.7	21.4	103.4
2	16	0.0127	0.0124	0.0039	0.098	0.154	134.2	69.4	120
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	16	0.0126	0.0111	0.0035	0.089	0.216	84.3	-133.1	74.1
2	16	0.0124	0.0091	0.003	0.076	0.198	62.8	-118.6	50.7
2	16	0.0123	0.0118	0.0038	0.099	0.216	119.4	32.9	84.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	16	0.0182	0.0253	0.0056	0.098	0.244	144.9	-119	95.8
2	16	0.0193	0.0159	0.0033	0.054	0.247	54.6	80.6	83.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	16	0.0093	0.0105	0.0049	0.185	0.244	36.7	-6	121.8
2	16	0.0196	0.0516	0.0105	0.17	0.223	53.5	5.1	168.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	18	0.005	0.0017	0.0013	0.085	0.166	124.2	142.5	44.8
3	35	0.0089	0.0059	0.0026	0.095	0.231	121.9	25	68.5
