order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0288	0.2709	0.0377	0.439	0	0	118.6	33.6
1	1	0.0336	0.1148	0.0137	0.13	0.096	166.7	-133.7	112.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.012	0.0089	0.003	0.079	0.12	38.1	30.1	28.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	7	0.0342	0.0677	0.0079	0.073	0.156	81.3	-79.2	61.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0268	0.3525	0.0526	0.624	0.045	111.5	8	126.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	13	0.0255	0.0846	0.0138	0.181	0.154	38.7	81.2	43.4
2	13	0.0257	0.0334	0.0052	0.064	0.203	52.8	-173.3	39.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	13	0.0282	0.0829	0.0117	0.132	0.226	97.1	55.4	73.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	13	0.0352	0.181	0.0206	0.186	0.08	85.2	75.8	42.1
0	0	0.0354	0.0784	0.0089	0.08	0.047	0	-45.8	150.5
