order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0289	0.2393	0.0322	0.347	0	0	40.5	41.1
1	1	0.0274	0.7442	0.1222	1.623	0.071	85.4	-36.5	95.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	2	0.0252	0.0794	0.0124	0.155	0.2	101.2	-164.7	75.4
2	2	0.0206	0.0407	0.0079	0.122	0.189	117	26	172.2
2	2	0.026	0.0624	0.0096	0.117	0.185	55.3	-17.4	111
2	2	0.0299	0.052	0.007	0.074	0.228	109.1	170.3	62.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	2	0.0162	0.0588	0.013	0.232	0.257	96.9	-33.9	57.4
0	0	0	0	0	0	0	0	0	0
2	2	0.0257	0.0866	0.0135	0.167	0.323	45	-81	62.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	13	0.0216	0.0392	0.0073	0.107	0.347	91.3	22.4	66.9
0	0	0	0	0	0	0	0	0	0
2	2	0.0172	0.0452	0.0099	0.174	0.303	79.6	-166.8	103.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	2	0.0242	0.0462	0.0083	0.119	0.263	100	-140.3	15.8
2	2	0.0177	0.0232	0.0052	0.094	0.32	111.1	166.8	5.5
0	0	0.0193	0.0132	0.0027	0.045	0.386	0	18.3	49.1
2	2	0.019	0.2406	0.0525	0.916	0.261	82	171.6	98.6
0	0	0	0	0	0	0	0	0	0
2	2	0.0212	0.0383	0.0072	0.109	0.286	79.8	138.4	83.2
0	0	0	0	0	0	0	0	0	0
2	2	0.0211	0.0308	0.0058	0.088	0.338	135.4	67.4	58.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	22	0.005	0.0029	0.0023	0.15	0.288	100.5	67.4	126.8
3	25	0.0209	0.4151	0.0796	1.213	0.346	61.7	-159.6	144.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	25	0.0251	0.0867	0.0138	0.175	0.263	140.7	-15.4	42.5
3	25	0.018	0.0431	0.0086	0.14	0.353	126.6	44	64.2
3	25	0.018	0.0524	0.0126	0.244	0.336	11.8	-80.7	97.7
3	25	0.0076	0.005	0.0027	0.112	0.359	59.7	138.5	151.1
4	35	0.005	0.0028	0.0022	0.14	0.32	51.8	-7.7	27.9
4	35	0.0198	0.0976	0.0201	0.33	0.346	165.7	128.1	132.5
4	35	0.021	0.1234	0.0235	0.356	0.379	30.8	-18.9	13.2
0	0	0	0	0	0	0	0	0	0
2	2	0.0245	0.1036	0.0192	0.293	0.409	43.8	149.6	26.4
3	29	0.0201	0.0306	0.0061	0.097	0.341	89.5	167.4	74.1
0	0	0	0	0	0	0	0	0	0
0	0	0.0277	0.048	0.0069	0.08	0.339	0	175.1	31.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	42	0.0068	0.0038	0.0023	0.118	0.316	118.1	-103.5	56.6
4	35	0.0198	0.0385	0.0078	0.125	0.399	60.5	-12.4	71.9
4	35	0.0198	0.0535	0.0108	0.173	0.386	117.7	17.5	78.2
0	0	0	0	0	0	0	0	0	0
4	35	0.0229	0.0687	0.012	0.166	0.394	105.7	23.4	15.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
5	46	0.0199	0.0246	0.0049	0.079	0.532	61.7	-118	96.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	2	0.0241	0.1436	0.0251	0.352	0.398	106.3	-34.9	111.7
2	2	0.0173	0.1234	0.0236	0.362	0.413	119.8	-154.9	130.9
2	2	0.0183	0.1166	0.0255	0.445	0.418	9.1	-25.9	117.5
3	48	0.0176	0.0308	0.007	0.127	0.445	90.7	-89.5	76.6
4	141	0.0208	0.052	0.01	0.153	0.446	166.9	-116.9	47.3
3	25	0.0162	0.0397	0.0098	0.192	0.326	115.6	-22.7	63.7
5	56	0.0188	0.0296	0.006	0.096	0.378	59.6	40.4	134
0	0	0	0	0	0	0	0	0	0
5	45	0.02	0.039	0.0078	0.124	0.328	121	14.1	69.8
