order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0208	0.1756	0.0271	0.349	0	0	114.2	18.6
1	1	0.0199	0.0516	0.0101	0.159	0.038	62.7	69.6	128.7
1	1	0.0224	0.0355	0.0066	0.098	0.076	102.8	111.4	70.7
1	1	0.0193	0.2328	0.0482	0.794	0.142	113.6	31.1	51.7
0	0	0	0	0	0	0	0	0	0
1	1	0.0143	0.0521	0.0151	0.347	0.149	100.9	87.4	61.3
0	0	0	0	0	0	0	0	0	0
2	4	0.0184	0.0541	0.0132	0.264	0.161	116.4	169.2	72.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	4	0.0184	0.0354	0.0077	0.134	0.169	119.8	36.5	146.3
0	0	0.0263	0.0581	0.0089	0.107	0.138	0	39.9	94.1
0	0	0	0	0	0	0	0	0	0
2	4	0.0184	0.0345	0.0075	0.13	0.186	50.9	58.2	114.2
2	6	0.0136	0.0309	0.0097	0.243	0.22	68.6	-37.2	19.4
2	6	0.015	0.0177	0.0047	0.099	0.251	38	-52.2	66.6
0	0	0	0	0	0	0	0	0	0
3	8	0.0173	0.0292	0.0073	0.145	0.23	135.2	138.3	113
0	0	0	0	0	0	0	0	0	0
2	4	0.0184	0.025	0.0063	0.138	0.221	106.1	-53.4	24.3
3	15	0.0162	0.0349	0.0086	0.169	0.292	112.2	5.1	61.3
2	6	0.0127	0.0081	0.0026	0.064	0.296	44.3	161.5	59.3
0	0	0	0	0	0	0	0	0	0
3	8	0.0116	0.0091	0.0032	0.087	0.27	49.8	112.5	86.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	6	0.0117	0.0149	0.0051	0.138	0.295	117.9	-139	135.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	6	0.0153	0.0304	0.0079	0.165	0.314	115	-64.2	50.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	4	0.0191	0.0418	0.0087	0.145	0.229	71.9	-142.9	60.1
2	4	0.0184	0.0276	0.0074	0.17	0.25	79.6	39.1	32.8
0	0	0	0	0	0	0	0	0	0
2	6	0.0236	0.0836	0.0141	0.19	0.366	100.8	-130.7	98.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	42	0.0225	0.048	0.0086	0.123	0.373	34	96.3	34.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	4	0.0184	0.0287	0.0063	0.109	0.293	19.8	108.7	31.7
3	50	0.0174	0.0196	0.0045	0.082	0.326	54.5	97.6	119.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	15	0.0128	0.013	0.0045	0.127	0.285	39.4	-40.4	77.4
