order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0746	1.8388	0.1094	0.576	0	0	-29.2	76.3
1	1	0.0341	2.9325	0.4054	4.576	0.108	38.9	-22.7	81.9
1	1	0.0216	0.0609	0.0113	0.166	0.09	27.4	-55	106.9
0	0	0	0	0	0	0	0	0	0
2	2	0.0265	0.0879	0.0137	0.172	0.256	105	57.3	76.2
2	2	0.0443	0.2204	0.0199	0.143	0.352	56.5	-126.2	65.6
2	2	0.0133	0.0176	0.0055	0.137	0.419	135.2	106.6	58.6
2	2	0.0252	0.0809	0.0128	0.162	0.372	81.4	76.1	26.6
2	2	0.0325	0.6202	0.0891	1.042	0.366	93.3	54.6	46.3
2	2	0.0284	0.0679	0.0096	0.108	0.445	136.1	71.1	66.7
0	0	0	0	0	0	0	0	0	0
3	315	0.0244	0.2165	0.0348	0.446	0.494	33.7	45.3	47.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	315	0.0222	0.0778	0.0141	0.203	0.555	27.5	-56.9	145.4
0	0	0	0	0	0	0	0	0	0
4	317	0.0196	0.1706	0.0299	0.422	0.69	81.2	-148.3	31.7
0	0	0	0	0	0	0	0	0	0
4	317	0.0275	0.076	0.0111	0.128	0.762	87.8	-150.1	77.3
3	9	0.0234	0.0851	0.0145	0.198	0.426	60.1	70.3	104.7
0	0	0	0	0	0	0	0	0	0
2	2	0.0316	0.1712	0.0216	0.218	0.438	129	106.9	62.2
2	2	0.0288	0.0436	0.0061	0.067	0.406	81.2	-129.4	143.2
2	2	0.026	0.1067	0.0177	0.234	0.44	121.5	-178.2	88.1
2	2	0.031	0.1914	0.0247	0.253	0.412	72.3	-16	44.6
2	2	0.02	0.018	0.0036	0.057	0.42	104.1	-30.1	141.9
2	2	0.0322	0.1208	0.015	0.148	0.397	52.6	-68.3	63.3
2	2	0.0181	0.0605	0.0129	0.22	0.467	111.9	-111.1	93.2
2	2	0.0342	0.1143	0.0134	0.124	0.455	132.3	99.1	57.3
4	12	0.0246	0.1622	0.0264	0.342	0.6	138.4	-152.4	94.5
0	0	0	0	0	0	0	0	0	0
5	17	0.0254	0.0668	0.0109	0.144	0.703	67.9	99.4	51.2
5	17	0.021	0.0419	0.008	0.12	0.749	21	-149.3	79.7
0	0	0	0	0	0	0	0	0	0
3	9	0.0208	0.1979	0.0395	0.629	0.516	48.1	57.8	102.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	315	0.0208	0.0457	0.0088	0.135	0.696	54	31.1	89.6
0	0	0	0	0	0	0	0	0	0
4	35	0.0094	0.0091	0.0038	0.125	0.506	88.6	171.7	154.7
0	0	0	0	0	0	0	0	0	0
4	316	0.0266	0.0694	0.0107	0.132	0.486	150.5	19.9	63.5
0	0	0	0	0	0	0	0	0	0
2	2	0.0228	0.0541	0.0095	0.133	0.374	171.4	110.8	91.1
4	12	0.0236	0.0541	0.0092	0.124	0.616	173.2	-63.4	80.5
0	0	0	0	0	0	0	0	0	0
3	315	0.0221	0.0682	0.0132	0.203	0.737	87.9	-116.8	57.9
3	315	0.0188	0.0933	0.0188	0.304	0.745	22.7	-52.4	72.6
0	0	0	0	0	0	0	0	0	0
4	35	0.0159	0.0144	0.0036	0.073	0.495	73	-14	86.6
0	0	0	0	0	0	0	0	0	0
4	316	0.022	0.0843	0.0155	0.227	0.457	32.7	92.6	69.2
4	316	0.0228	0.0478	0.0084	0.117	0.502	78.3	-55.9	22.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
5	30	0.0125	0.0093	0.0036	0.119	0.626	132.2	-31.8	53.6
5	30	0.0233	0.068	0.012	0.168	0.636	84.7	34.9	139
4	49	0.0178	0.0311	0.007	0.124	0.79	123.7	172.7	53.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
