order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0169	0.0439	0.0115	0.247	0	0	-116.2	70.3
1	1	0.0135	0.124	0.0428	1.236	0.037	111.1	-22.6	99.9
0	0	0	0	0	0	0	0	0	0
1	1	0.0097	0.0238	0.011	0.414	0.041	90.3	-134.9	60.7
0	0	0	0	0	0	0	0	0	0
1	50	0.0114	0.0126	0.0041	0.108	0.031	101.3	47.5	93.2
2	4	0.0092	0.014	0.0066	0.246	0.05	44.9	-46.9	60.3
2	2	0.0128	0.0435	0.015	0.421	0.051	60.5	62.6	74.7
0	0	0	0	0	0	0	0	0	0
2	4	0.0118	0.0197	0.0067	0.179	0.043	29.2	159.6	70.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	4	0.0173	0.0357	0.0082	0.151	0.074	121.6	114.1	86.9
0	0	0	0	0	0	0	0	0	0
2	2	0.0068	0.0169	0.0104	0.506	0.041	26.2	38.1	89.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	2	0.0141	0.0818	0.0232	0.524	0.056	86.2	33.7	83.3
0	0	0	0	0	0	0	0	0	0
2	2	0.0108	0.0159	0.0065	0.218	0.042	96.1	81.7	103.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	8	0.0134	0.0343	0.0103	0.244	0.064	51.7	-157.8	85.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	21	0.0235	0.1014	0.0173	0.235	0.061	99.1	131.3	106.2
0	0	0	0	0	0	0	0	0	0
2	2	0.0103	0.0083	0.0036	0.128	0.045	53.7	96.6	92.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	2	0.0221	0.038	0.0069	0.099	0.045	22.2	-130.6	114.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	21	0.0156	0.0299	0.0077	0.157	0.049	21.6	-95.6	77.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0.0208	0.0494	0.0087	0.132	0.037	0	148.6	87.3
0	0	0	0	0	0	0	0	0	0
3	21	0.0134	0.0235	0.0085	0.259	0.054	89.8	-132.3	96.4
0	0	0	0	0	0	0	0	0	0
0	0	0.0135	0.011	0.0039	0.129	0.031	0	14.8	84.2
