order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0134	0.0913	0.0245	0.533	0	0	5.4	57.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.015	0.2154	0.0573	1.215	0.119	37.2	-51	113.4
1	1	0.005	0.0016	0.0013	0.084	0.055	51.7	3.4	59.8
2	4	0.0143	0.0655	0.019	0.44	0.074	46.3	-26.1	96.6
1	1	0.0185	0.0631	0.0137	0.235	0.114	50.4	158.4	92.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	4	0.0143	0.0694	0.0204	0.479	0.082	13.8	-23.5	80
2	4	0.0059	0.0032	0.0021	0.109	0.099	157.1	70.9	76.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	4	0.0143	0.0267	0.0075	0.167	0.079	48.2	-65.1	73.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	4	0.0143	0.0165	0.0046	0.103	0.079	68.8	-90.4	73.5
2	4	0.0112	0.0417	0.0139	0.373	0.079	57.6	164	94.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	4	0.0179	0.0442	0.0099	0.176	0.056	79.1	159.5	80.5
0	0	0	0	0	0	0	0	0	0
2	4	0.0156	0.0546	0.014	0.286	0.074	103.4	156.7	99.5
3	25	0.0106	0.0123	0.0051	0.17	0.075	69.4	98.6	82.3
3	14	0.0354	0.2883	0.0326	0.293	0.115	46.4	-173.6	91.4
