order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0327	0.3459	0.0448	0.464	0	0	145	83.9
2	19	0.0424	0.1611	0.0152	0.114	0.029	81.8	33.3	75.5
0	0	0	0	0	0	0	0	0	0
1	1	0.005	0.0037	0.003	0.19	0.01	27.1	61.8	79.7
0	0	0	0	0	0	0	0	0	0
1	1	0.0145	0.0731	0.015	0.254	0.035	61.9	157.5	71.2
1	1	0.0228	0.0628	0.0109	0.151	0.028	86.1	171.6	113.5
1	1	0.0175	0.0634	0.0116	0.176	0.047	56.9	37.4	101.9
1	1	0.0266	0.1934	0.0293	0.353	0.053	35.6	167.6	21.8
1	1	0.0634	0.2767	0.0175	0.088	0.037	106.4	170.8	56.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	9	0.0547	0.1319	0.0096	0.056	0.058	112.7	-84.9	48.4
2	6	0.0186	0.0398	0.0081	0.132	0.04	92.7	24.5	98.6
0	0	0	0	0	0	0	0	0	0
3	14	0.02	0.0307	0.0061	0.098	0.091	72.4	88	116.6
0	0	0	0	0	0	0	0	0	0
1	1	0.0091	0.0233	0.0103	0.359	0.025	136.2	-48.5	88.8
