radius (m)	length (m)	start_point	axis_direction	parent	extension	branch	branch_order	position_in_branch	mad	SurfCov	added	UnmodRadius (m)
0.0081	0.0172	-0.2608	0.2229	0.1243	-0.4303	0.4432	-0.7864	40	42	3	1	24	0.01	0.05	0	0.01
0.0081	0.0211	-0.2682	0.2306	0.1108	-0.232	0.6714	0.7039	41	0	3	1	25	0.01	0.05	0	0.01
0.0098	0.0194	0.0486	0.012	-0.0271	0.9933	-0.0297	0.112	21	44	4	2	1	0.0019	0.4583	1	0.0098
0.0098	0.0421	0.0679	0.0115	-0.0249	-0.8104	0.1066	0.576	43	45	4	2	2	0.0019	0.4583	0	0.0098
0.0098	0.0026	0.0365	0.009	0.0029	-0.9321	-0.2022	0.3006	44	46	4	2	3	0.01	0.05	0	0.01
0.0098	0.0224	0.0341	0.0085	0.0037	-0.8352	0.3451	-0.4282	45	47	4	2	4	0.01	0.05	0	0.01
0.0098	0.0165	0.0154	0.0162	-0.0059	-0.8647	-0.4156	-0.2822	46	0	4	2	5	0.01	0.05	0	0.01
0.0077	0.0267	0.0065	0.0748	-0.0012	-0.2104	-0.9486	0.2363	24	49	8	2	1	0.01	0.05	0	0.01
0.0077	0.0208	0.0008	0.0502	0.0049	-0.9135	-0.0393	0.4049	48	50	8	2	2	0.01	0.05	0	0.01
0.0077	0.0239	-0.0183	0.0493	0.0133	-0.7273	0.5114	0.4577	49	51	8	2	3	0.01	0.05	0	0.01
0.0077	0.021	-0.0356	0.0615	0.0242	-0.4886	-0.3041	0.8178	50	0	8	2	4	0.01	0.05	0	0.01
0.0096	0.0211	-0.0456	0.103	0.0141	-0.3915	0.7533	-0.5285	28	53	11	2	1	0.0024	0.4167	1	0.0096
0.0096	0.0504	-0.0538	0.1189	0.003	0.3702	0.858	0.356	52	54	11	2	2	0.0024	0.4167	0	0.0096
0.0096	0.0247	-0.0399	0.1692	0.0119	-0.0308	0.7814	0.6233	53	55	11	2	3	0.0049	0.5417	0	0.0098
0.0096	0.0264	-0.052	0.1783	0.017	-0.3818	0.8328	-0.4008	54	56	11	2	4	0.0037	0.4688	0	0.011
0.0096	0.0193	-0.0639	0.2002	0.0136	-0.8829	0.4171	-0.2156	55	57	11	2	5	0.01	0.05	0	0.01
0.0096	0.0024	-0.0629	0.1992	0.004	-0.3548	-0.1455	-0.9235	56	58	11	2	6	0.01	0.05	0	0.01
0.0096	0.0237	-0.0608	0.2009	0.0031	0.636	-0.7252	-0.2638	57	0	11	2	7	0.01	0.05	0	0.01
0.0077	0.0272	-0.2681	0.2397	0.1297	0.602	-0.5858	0.5425	42	60	12	2	1	0.0021	0.5	1	0.0085
0.0077	0.078	-0.2517	0.2237	0.1445	0.9735	-0.1438	0.178	59	61	12	2	2	0.0021	0.5	0	0.0085
0.0077	0.0487	-0.1781	0.218	0.1518	0.9652	0.155	-0.2108	60	62	12	2	3	0.01	0.05	0	0.01
0.0077	0.0182	-0.1729	0.2036	0.1549	0.517	-0.8026	0.2975	61	0	12	2	4	0.01	0.05	0	0.01
