order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0272	0.3785	0.0477	0.486	0	0	157.4	17.7
1	1	0.02	0.0338	0.0068	0.108	0.168	96.8	-27.6	70.7
1	1	0.02	0.044	0.0088	0.14	0.254	99.7	-54	67.3
1	1	0.0258	0.0374	0.0058	0.072	0.25	37.5	95.3	69.7
0	0	0	0	0	0	0	0	0	0
1	1	0.017	0.0312	0.0074	0.144	0.326	37	-70.1	101.5
1	1	0.018	0.2833	0.0557	0.911	0.335	104.5	125	59.7
0	0	0	0	0	0	0	0	0	0
2	3	0.0312	0.0494	0.0063	0.065	0.312	114.4	156.3	57.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	7	0.0199	0.0344	0.0067	0.106	0.459	75.7	-168	74.5
2	7	0.0206	0.0416	0.0081	0.125	0.513	80.1	-150.3	160.5
2	7	0.0238	0.0515	0.0086	0.115	0.559	142.9	165.5	138.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	7	0.0176	0.0237	0.0054	0.097	0.703	141.1	-90.2	137.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	7	0.0133	0.0202	0.0061	0.146	0.794	129.3	-70.4	145.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0388	0.0958	0.0099	0.081	0.309	156.1	-168.3	100.1
