order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0264	0.2018	0.0322	0.433	0	0	69.9	50.8
1	1	0.0199	0.0588	0.0115	0.182	0.052	106.5	-52.3	20.7
1	1	0.0178	0.031	0.0072	0.132	0.041	92.4	-37.7	112.9
1	1	0.0161	0.0078	0.0019	0.039	0.058	25.8	107.2	53.5
1	1	0.0182	0.0391	0.0086	0.151	0.056	75.8	21.8	65.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0142	0.0845	0.0255	0.615	0.062	95.4	6.1	112.1
2	5	0.0186	0.0201	0.0043	0.074	0.071	60.8	-53.6	81.7
2	8	0.0134	0.0158	0.0047	0.112	0.088	122.7	113.9	128.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	8	0.0134	0.0165	0.0049	0.118	0.076	163.6	168.1	62.6
2	8	0.0136	0.0205	0.006	0.14	0.146	18.2	-148.8	115.4
