order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0285	0.2621	0.0466	0.684	0	0	12.1	44.8
1	1	0.0294	0.1233	0.0168	0.182	0.044	82.3	136	51.6
1	1	0.0199	0.0509	0.0112	0.203	0.044	118.8	164.6	72.9
1	1	0.005	0.0024	0.0019	0.12	0.085	43.3	-45.2	94.8
1	1	0.0183	0.067	0.0133	0.211	0.047	51.5	69.1	67.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0192	0.0453	0.0094	0.156	0.077	99.9	-71.5	123.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.005	0.0022	0.0018	0.112	0.054	74.7	162.4	108.3
1	1	0.0242	0.052	0.0086	0.113	0.066	86.5	174.3	112.1
0	0	0	0	0	0	0	0	0	0
1	1	0.0242	0.0371	0.0064	0.088	0.068	58.6	144.2	106.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0244	0.0694	0.0114	0.148	0.13	7.8	79	72.7
2	21	0.005	0.002	0.0016	0.1	0.113	23.1	56.7	80.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	5	0.0213	0.0451	0.0085	0.126	0.06	76.5	-124.5	30.3
2	8	0.005	0.0017	0.0014	0.089	0.03	156.3	1.2	117.4
