order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0313	0.396	0.0455	0.427	0	0	-129	28.2
1	1	0.0296	0.2387	0.0322	0.346	0.053	53.3	-135.1	97.9
1	1	0.0324	0.2237	0.0296	0.317	0.261	101.4	9.5	98.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	18	0.0266	0.1162	0.019	0.252	0.42	99.7	-158.2	121.6
2	18	0.0117	0.0111	0.0038	0.103	0.433	131.8	70.6	40.5
2	18	0.0187	0.0183	0.0039	0.066	0.487	68.5	33.6	56.7
2	18	0.0124	0.0169	0.0053	0.135	0.548	120.4	66	89.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	22	0.0267	0.031	0.0046	0.055	0.394	104.2	-165.6	78.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	18	0.0179	0.0316	0.0071	0.126	0.717	72.3	-8	103.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0282	0.3433	0.0511	0.639	0.342	22.2	-122.1	13
2	2	0.0367	0.1087	0.0118	0.103	0.056	109.4	117.1	62.3
2	3	0.0219	0.08	0.0146	0.213	0.255	105	-109.5	4.6
2	18	0.0233	0.046	0.0079	0.108	0.537	51.8	-144.9	39.6
3	6	0.0174	0.0423	0.0097	0.177	0.396	102	-28.1	127
0	0	0	0	0	0	0	0	0	0
0	0	0.031	0.0301	0.0039	0.04	0.383	0	93.1	28.9
