order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0269	0.1788	0.0317	0.471	0	0	15.2	79.8
0	0	0	0	0	0	0	0	0	0
1	1	0.0227	0.3625	0.0734	1.2	0.149	135.1	49.5	71.4
2	3	0.019	0.0255	0.0054	0.09	0.141	67	82.9	89.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0066	0.0033	0.002	0.095	0.154	50	159.4	105.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.019	0.0224	0.0047	0.079	0.184	13.6	52.1	66.7
2	3	0.0177	0.0376	0.0098	0.211	0.191	61.7	96.4	134.2
0	0	0	0	0	0	0	0	0	0
3	11	0.0143	0.0192	0.0054	0.119	0.143	94.3	-123.6	72.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	13	0.005	0.001	0.0008	0.05	0.134	98.6	-34.3	121.4
0	0	0	0	0	0	0	0	0	0
2	3	0.0159	0.0417	0.0097	0.179	0.213	135.6	-107.9	57.3
2	3	0.0166	0.0995	0.0226	0.411	0.216	131.5	-36	82.1
0	0	0	0	0	0	0	0	0	0
3	19	0.005	0.002	0.0016	0.1	0.226	121.8	-159.2	53.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0153	0.0146	0.0038	0.079	0.214	103.8	86.4	109.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0193	0.0481	0.0099	0.163	0.208	110.7	87.4	100.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.005	0.002	0.0016	0.101	0.165	44.9	-31.5	121.1
3	11	0.006	0.0016	0.0011	0.061	0.178	163.8	-23.6	76.6
0	0	0.0241	0.0409	0.0068	0.09	0.243	0	-35.3	117.7
