order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0229	0.2078	0.0329	0.417	0	0	169	70.9
1	1	0.0254	0.0681	0.0107	0.135	0.179	118.4	-161.5	123.9
1	1	0.0234	0.1863	0.0318	0.433	0.087	76	-115.5	64.6
1	1	0.0271	0.1224	0.0181	0.212	0.113	43.4	159	33.1
2	3	0.0119	0.0039	0.0014	0.04	0.099	152.9	-113.3	115.2
0	0	0	0	0	0	0	0	0	0
2	4	0.0284	0.0721	0.0101	0.114	0.244	69.4	-130.7	58.7
1	1	0.0218	0.2014	0.0388	0.596	0.227	108.5	54.9	149.1
0	0	0	0	0	0	0	0	0	0
1	1	0.0241	0.3807	0.067	0.946	0.195	64.1	-2.4	91
2	8	0.0206	0.0683	0.0134	0.208	0.135	60.2	-60.1	70.7
0	0	0	0	0	0	0	0	0	0
2	10	0.02	0.1019	0.0207	0.335	0.218	130	66.9	135.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	10	0.0233	0.2845	0.0495	0.686	0.27	160.2	-149.5	91.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	10	0.0156	0.0141	0.0036	0.073	0.28	96	101.2	52.4
3	17	0.0296	0.1653	0.0223	0.24	0.261	42.7	174.8	46.1
2	8	0.005	0.0011	0.0009	0.058	0.134	45.8	156.6	55.7
2	8	0.0179	0.0648	0.0145	0.258	0.156	16	-7.3	99.8
0	0	0	0	0	0	0	0	0	0
2	10	0.0146	0.0227	0.0062	0.136	0.292	79	133.7	65.4
2	10	0.0234	0.2469	0.0445	0.649	0.272	95	-95.8	74.4
0	0	0	0	0	0	0	0	0	0
3	17	0.0218	0.1297	0.025	0.384	0.304	109.6	160.1	82
0	0	0	0	0	0	0	0	0	0
2	10	0.0242	0.0695	0.0115	0.151	0.271	75.3	110.7	148.6
0	0	0	0	0	0	0	0	0	0
3	30	0.0222	0.0921	0.0168	0.245	0.337	135.2	-14.3	145.4
3	30	0.021	0.0847	0.0161	0.245	0.355	90.3	92.9	44.9
4	117	0.0177	0.0407	0.0092	0.166	0.397	168.4	-115.2	108.8
3	17	0.022	0.0946	0.019	0.308	0.258	130.9	113.1	132.1
3	17	0.0392	0.2438	0.0258	0.224	0.26	42.4	-162.5	64.4
3	17	0.0209	0.0984	0.0187	0.283	0.24	94.3	134.7	165.4
4	32	0.0092	0.0074	0.0032	0.112	0.326	73.9	-40.1	119.7
4	32	0.0236	0.04	0.0068	0.091	0.354	145	-37.3	98.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	10	0.0234	0.1534	0.0263	0.359	0.27	115.6	-129.3	170.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	10	0.0206	0.0733	0.0166	0.326	0.265	27.5	86.5	75.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	37	0.0169	0.0577	0.012	0.202	0.43	176	-59.2	121.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	39	0.0112	0.0046	0.0018	0.06	0.23	126.4	-110.4	85.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	41	0.0216	0.0893	0.0165	0.243	0.195	41.4	-170.3	83.4
3	17	0.0215	0.051	0.0105	0.176	0.366	117.4	17	106.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	8	0.0192	0.0797	0.0166	0.276	0.163	90	-23.7	119.5
2	10	0.005	0.0017	0.0013	0.085	0.283	45	4.8	90.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	30	0.0118	0.0061	0.0021	0.056	0.391	170.9	35.4	117
3	30	0.0171	0.0678	0.015	0.273	0.398	59.8	37.9	9.8
0	0	0	0	0	0	0	0	0	0
4	117	0.0092	0.0039	0.0017	0.059	0.472	22	98.4	52.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	50	0.005	0.0022	0.0018	0.112	0.13	66.8	126.5	116.6
2	10	0.0251	0.1109	0.0177	0.225	0.253	84.6	82.4	105.7
0	0	0	0	0	0	0	0	0	0
3	30	0.005	0.0015	0.0012	0.076	0.497	110.4	-19.4	97.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	117	0.0272	0.0434	0.0064	0.074	0.411	84.5	-7.5	77.2
3	50	0.008	0.0026	0.0013	0.051	0.132	109.3	-1	58
2	10	0.0217	0.0881	0.0164	0.243	0.267	175.9	129.3	28.3
2	10	0.0227	0.0717	0.0131	0.192	0.333	30.7	46	58
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	10	0.0308	0.079	0.0103	0.106	0.258	105.8	-119.5	132.5
2	10	0.0177	0.035	0.0087	0.18	0.256	32.7	174.3	135.9
0	0	0	0	0	0	0	0	0	0
4	72	0.0172	0.0183	0.0043	0.079	0.479	131.3	-165.9	121
4	117	0.0183	0.0313	0.0069	0.119	0.403	82.1	-40.5	107
4	117	0.0093	0.0093	0.0042	0.16	0.368	178.5	-171.7	25.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	50	0.0232	0.0159	0.0027	0.037	0.131	95	134.2	30.8
0	0	0	0	0	0	0	0	0	0
3	30	0.0185	0.0321	0.0068	0.114	0.593	112.5	9.5	98.3
3	30	0.0193	0.0215	0.0044	0.073	0.634	131.2	-53.4	66.7
0	0	0	0	0	0	0	0	0	0
1	1	0.0091	0.0044	0.0021	0.083	0.001	100.9	-63.5	46.1
2	3	0.0088	0.012	0.0055	0.198	0.135	128.4	-57.1	95.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	10	0.023	0.0324	0.0056	0.078	0.185	2.2	-4.3	92.3
3	27	0.0302	0.0671	0.0089	0.094	0.16	97.6	-116.4	131.1
0	0	0	0	0	0	0	0	0	0
0	0	0.0269	0.068	0.0101	0.12	0.171	0	94.6	69.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	30	0.0222	0.2097	0.0415	0.665	0.356	178	22.6	95.1
0	0	0	0	0	0	0	0	0	0
3	53	0.0282	0.0413	0.0059	0.066	0.282	110.1	-161	84.1
4	25	0.0241	0.0515	0.0085	0.113	0.329	91.7	79.9	43.4
0	0	0	0	0	0	0	0	0	0
4	117	0.0172	0.0277	0.0065	0.122	0.423	133.8	111.6	114.8
0	0	0.0256	0.0412	0.0064	0.08	0.323	0	-88.2	44.1
