order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0225	0.1956	0.0366	0.553	0	0	45.7	57.8
1	1	0.0176	0.018	0.0047	0.104	0.033	104.1	-48.1	67.1
1	1	0.0169	0.0407	0.009	0.158	0.068	99.4	175.2	135
1	1	0.0176	0.0377	0.0086	0.155	0.047	44.8	55.8	48.2
1	1	0.0352	0.3841	0.0437	0.395	0.067	102.1	46.2	19.7
0	0	0	0	0	0	0	0	0	0
2	5	0.0199	0.054	0.0099	0.147	0.176	66.8	20.7	71.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	7	0.0189	0.0355	0.0068	0.105	0.152	95.2	-148.8	106
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	5	0.0236	0.0325	0.0055	0.074	0.179	52.7	72.8	116.4
