order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0309	0.2746	0.0356	0.367	0	0	-122.2	59.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0232	0.0633	0.0092	0.107	0.041	90.1	-20.7	59.7
1	1	0.0272	0.4137	0.0711	0.989	0.096	65.8	-65.9	53.7
1	1	0.025	0.0672	0.0104	0.129	0.115	113.4	-14.4	103.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	5	0.0197	0.051	0.0123	0.251	0.145	65	-28.8	103.4
2	5	0.0212	0.0403	0.0076	0.114	0.178	116.3	-39.2	162.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	5	0.0188	0.0561	0.0119	0.202	0.254	77	11.9	85.5
3	18	0.0238	0.0543	0.0091	0.122	0.246	103.2	-108.7	60.7
0	0	0	0	0	0	0	0	0	0
2	5	0.021	0.0493	0.0108	0.197	0.308	87.7	50.4	88.1
2	5	0.0216	0.0775	0.0143	0.211	0.327	57.5	-145.7	107
2	5	0.0353	0.1737	0.0197	0.177	0.352	127.7	146.2	109.1
2	5	0.0223	0.1034	0.0179	0.246	0.361	86.8	-95.6	65.6
0	0	0	0	0	0	0	0	0	0
2	5	0.0188	0.0265	0.0056	0.096	0.374	58.8	-159.9	141.6
2	5	0.0188	0.0321	0.0068	0.116	0.467	54.8	-9.4	38.5
0	0	0	0	0	0	0	0	0	0
2	5	0.02	0.0433	0.009	0.159	0.449	104.6	-45.8	157.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	24	0.0239	0.0432	0.0072	0.096	0.368	67.8	-172.2	27.4
0	0	0	0	0	0	0	0	0	0
2	5	0.019	0.0666	0.0161	0.322	0.49	30.3	147.5	80.6
3	37	0.0135	0.0171	0.0057	0.16	0.596	119.7	52.9	141.5
0	0	0	0	0	0	0	0	0	0
4	38	0.0195	0.04	0.0082	0.133	0.516	120.6	176.1	67.3
3	21	0.0283	0.0456	0.0065	0.073	0.298	6	24.8	121.7
3	27	0.0183	0.0494	0.0108	0.189	0.515	143.6	-71	164.9
0	0	0	0	0	0	0	0	0	0
0	0	0.0319	0.0565	0.0071	0.071	0.134	0	9	76
