order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0244	0.3415	0.0573	0.777	0	0	-74.9	41.2
1	1	0.0205	0.0393	0.0077	0.121	0.136	103.3	32.5	102.5
1	1	0.0342	0.1368	0.016	0.149	0.148	85.8	-49	74.5
1	1	0.0184	0.1229	0.0289	0.547	0.201	106.8	-32.3	62.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0217	0.0365	0.0078	0.141	0.118	119	-127.2	27
1	1	0.0257	0.0863	0.0134	0.167	0.117	93.5	119.6	52.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	4	0.0185	0.0362	0.0078	0.134	0.261	104	57.6	77
