order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0343	0.2486	0.0318	0.345	0	0	100.2	66.6
1	1	0.0278	0.1299	0.021	0.286	0.053	158.7	-86.7	90.5
1	1	0.0299	0.6242	0.109	1.554	0.017	74.7	-13.9	17.6
1	1	0.0175	0.0252	0.0057	0.104	0.033	134.2	-54.2	75
0	0	0	0	0	0	0	0	0	0
2	3	0.0199	0.1488	0.0279	0.418	0.042	32.2	8	48
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	4	0.0168	0.0396	0.0095	0.179	0.044	47.4	65.8	75.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0279	0.0693	0.0099	0.114	0.078	114.9	7.3	100.5
2	2	0.0228	0.0416	0.0073	0.102	0.107	63.3	-120.8	90.5
3	6	0.0292	0.0961	0.0132	0.144	0.07	74	-161.4	48.6
2	3	0.0185	0.2202	0.0495	0.888	0.107	60.6	94.1	48.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	2	0.0252	0.0638	0.0112	0.159	0.109	94.9	-99.7	116.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0184	0.0263	0.0057	0.099	0.097	60.3	-178.7	137.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	16	0.005	0.0018	0.0015	0.092	0.157	117.1	-148.9	129.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	16	0.0197	0.1084	0.022	0.355	0.195	117.6	176.2	90.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.021	0.0348	0.0068	0.105	0.095	54.3	-65.8	61.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0.0198	0.0186	0.0038	0.061	0.175	0	-179.4	95.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	38	0.0187	0.041	0.0093	0.169	0.199	120	-131.2	87
4	38	0.0187	0.0866	0.0197	0.357	0.206	148.5	-134.7	92.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	16	0.0174	0.0463	0.012	0.261	0.198	57.3	-50.6	132.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	38	0.0172	0.0248	0.0058	0.106	0.23	125.6	69	146.7
4	38	0.0182	0.0453	0.0114	0.232	0.244	112.2	27.2	113.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	38	0.0183	0.029	0.0062	0.107	0.265	58.6	46.7	55
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	58	0.0172	0.0497	0.0116	0.215	0.151	110.4	151.8	130.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0218	0.0513	0.0094	0.137	0.144	159.2	96.1	112.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	16	0.0184	0.0477	0.0103	0.178	0.294	65.2	-58	66.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	16	0.0267	0.096	0.0144	0.171	0.392	103.6	95.1	65.6
2	3	0.017	0.0286	0.0067	0.126	0.134	101.6	154.1	81.2
0	0	0	0	0	0	0	0	0	0
2	3	0.0207	0.085	0.0164	0.252	0.125	80.6	38.8	171.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	88	0.0197	0.0376	0.0087	0.17	0.097	147	114.2	66.8
0	0	0	0	0	0	0	0	0	0
2	3	0.0168	0.056	0.0133	0.253	0.118	60.5	-64.8	73.5
2	3	0.035	0.2361	0.027	0.246	0.137	151.6	119.2	79.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0166	0.0429	0.0118	0.271	0.098	43	1.8	98.5
0	0	0	0	0	0	0	0	0	0
3	93	0.0159	0.0275	0.0069	0.138	0.109	177.1	25.5	60.1
3	93	0.0159	0.034	0.0085	0.17	0.115	89.9	125.8	78.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	97	0.0234	0.0779	0.0133	0.181	0.138	120.4	146.2	100.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0246	0.0413	0.0071	0.097	0.132	90	52.3	50.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0227	0.1382	0.0244	0.342	0.116	70.7	-53	37.9
2	3	0.0246	0.0622	0.0113	0.165	0.121	82.7	157.8	25.7
0	0	0	0	0	0	0	0	0	0
2	3	0.0218	0.0948	0.0174	0.254	0.185	153.9	161.6	174.5
3	125	0.0083	0.0044	0.0023	0.096	0.161	110.6	-1.1	130.6
0	0	0.0171	0.023	0.0054	0.1	0.111	0	176.5	122.1
0	0	0	0	0	0	0	0	0	0
2	3	0.0211	0.1205	0.0249	0.419	0.194	141.9	174.2	114
3	128	0.0207	0.0661	0.0144	0.266	0.124	58.2	-165.2	117.2
0	0	0	0	0	0	0	0	0	0
1	130	0.005	0.0012	0.0009	0.06	0.072	125.8	-77.2	75.7
0	0	0	0	0	0	0	0	0	0
2	3	0.0164	0.0663	0.0185	0.427	0.172	51	-103.1	100.5
2	3	0.015	0.0785	0.0188	0.362	0.16	110.3	-100.4	85.5
0	0	0.0171	0.0131	0.0031	0.057	0.143	0	70.1	60.2
3	128	0.0194	0.0314	0.0065	0.106	0.137	39.9	125.5	116.8
0	0	0	0	0	0	0	0	0	0
2	3	0.0253	0.0861	0.0136	0.171	0.209	16.9	20.4	16.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	138	0.0154	0.0202	0.0052	0.108	0.213	100.3	-101.7	44.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0268	0.0423	0.0063	0.075	0.078	55.7	26.8	75.3
2	3	0.0214	0.0278	0.0052	0.077	0.061	100.7	-131.5	92.8
0	0	0	0	0	0	0	0	0	0
3	6	0.0242	0.0462	0.0076	0.1	0.124	113.4	-174	161.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	58	0.0179	0.0191	0.0043	0.076	0.188	141.5	71.8	32.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0.0181	0.0247	0.0055	0.096	0.141	0	-110.7	145.7
