order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0241	0.1368	0.0281	0.467	0	0	-151.9	60.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0177	0.4112	0.0906	1.605	0.116	24.4	-82.8	53.9
0	0	0	0	0	0	0	0	0	0
2	5	0.0189	0.2492	0.058	1.085	0.122	79.6	23.4	76.1
0	0	0	0	0	0	0	0	0	0
1	1	0.0155	0.0217	0.0056	0.115	0.166	43.1	162.4	98.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.017	0.0389	0.0095	0.184	0.2	62.7	-141.4	125.8
3	7	0.0179	0.0905	0.023	0.481	0.14	19	-34.5	115.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	7	0.0193	0.0405	0.0084	0.138	0.132	37.8	-41.9	30.5
0	0	0	0	0	0	0	0	0	0
2	12	0.014	0.0118	0.0034	0.076	0.237	127.8	47.4	105.1
3	7	0.0207	0.1153	0.0223	0.344	0.079	143.6	-106	67.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	7	0.0189	0.0188	0.004	0.067	0.101	63.1	-37.8	48.8
3	7	0.0174	0.0355	0.0094	0.205	0.111	33.6	0	37.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	7	0.0169	0.0273	0.0065	0.122	0.076	66.1	40.9	61.6
0	0	0	0	0	0	0	0	0	0
3	7	0.0164	0.0405	0.0099	0.193	0.112	88.5	-127.5	25.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	5	0.0174	0.0703	0.0168	0.321	0.282	11.6	-115.2	110.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	5	0.0145	0.0197	0.0062	0.16	0.122	153.1	-148.4	144
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	5	0.0118	0.1018	0.0281	0.628	0.122	123.2	54.5	106.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	5	0.0178	0.0842	0.0201	0.384	0.093	44.1	-16.8	71.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	5	0.0076	0.005	0.0029	0.134	0.086	110.4	151.5	92.8
0	0	0	0	0	0	0	0	0	0
3	55	0.0195	0.035	0.0072	0.117	0.221	126.7	32.5	117.8
0	0	0	0	0	0	0	0	0	0
3	55	0.0298	0.0651	0.0088	0.094	0.211	64.2	78	87.3
