order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0293	0.542	0.0668	0.66	0	0	143.6	27.4
1	1	0.0246	0.1482	0.0242	0.314	0.012	56.6	54.1	87
1	1	0.0307	0.4661	0.0692	0.831	0.17	35.4	-128.1	76.6
1	1	0.0239	0.0671	0.0117	0.163	0.168	117.3	-96.3	106.4
1	1	0.0199	0.141	0.0253	0.368	0.186	177.5	30.9	91.2
1	1	0.0291	0.39	0.0531	0.579	0.18	72.4	59.2	42.9
1	1	0.0246	0.0618	0.0101	0.13	0.193	52.5	117.6	75.1
2	3	0.0351	0.101	0.0115	0.105	0.212	85.8	126.8	39.9
2	3	0.028	0.0308	0.0044	0.05	0.353	67.7	-98.8	79.5
2	2	0.0172	0.0187	0.0043	0.08	0.103	146.8	-11.2	118.8
0	0	0	0	0	0	0	0	0	0
2	6	0.0275	0.0949	0.0134	0.151	0.335	131.6	138.8	109.8
2	6	0.0239	0.0576	0.0096	0.128	0.373	91.4	-111.8	84.5
2	6	0.0231	0.1432	0.023	0.299	0.345	92.6	-121.9	56.1
2	6	0.0239	0.2031	0.0346	0.48	0.54	168.7	-123.5	102.5
2	3	0.0238	0.0482	0.0081	0.108	0.246	113.8	-65.2	135.5
0	0	0	0	0	0	0	0	0	0
2	3	0.0275	0.0485	0.0079	0.102	0.41	93.2	88.5	80
3	14	0.0205	0.0451	0.0084	0.125	0.418	91.4	-178.9	132.9
3	15	0.0227	0.0744	0.0133	0.19	0.54	70.5	-25.7	93.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	15	0.0257	0.0537	0.0084	0.104	0.45	52.3	-114.5	118.9
3	15	0.0233	0.0495	0.0085	0.116	0.476	43.6	134.6	34.5
0	0	0	0	0	0	0	0	0	0
3	15	0.0104	0.0093	0.0036	0.113	0.459	21	178.4	92.4
3	15	0.0241	0.0282	0.0047	0.062	0.466	87.9	-11.8	44.9
3	15	0.0192	0.0404	0.0084	0.14	0.452	43.4	172.3	36.1
1	1	0.0183	0.031	0.0068	0.117	0.145	112.5	-24.9	53
2	2	0.0107	0.0087	0.0032	0.096	0.028	110.5	-179.7	82.5
2	3	0.0228	0.1446	0.0256	0.36	0.214	65	13.6	112.5
0	0	0	0	0	0	0	0	0	0
2	5	0.0256	0.0735	0.0115	0.143	0.181	72.5	-55.7	101.4
2	6	0.019	0.0183	0.0039	0.065	0.615	46.4	-13	71.7
3	31	0.0264	0.1174	0.0178	0.215	0.327	173.8	66.5	110.6
3	15	0.0115	0.0106	0.0037	0.101	0.44	134.9	-69.6	131.6
0	0	0.0201	0.028	0.0056	0.088	0.409	0	-48.9	87.9
