order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0198	0.1555	0.0293	0.451	0	0	49.1	47.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0148	0.3524	0.0928	1.965	0.121	70.8	48.3	78.6
2	4	0.0154	0.0659	0.017	0.35	0.141	31.7	49.3	80.6
2	4	0.0084	0.0021	0.0012	0.063	0.131	113.8	-178.3	135.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	4	0.0138	0.0135	0.0039	0.091	0.152	26.2	36.8	82.4
0	0	0	0	0	0	0	0	0	0
3	5	0.0212	0.088	0.0166	0.249	0.184	108.8	-119.5	23
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	4	0.0135	0.0097	0.0029	0.067	0.313	19	57	74.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0.0262	0.0439	0.0067	0.081	0.411	0	71.7	92.2
