order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0216	0.2846	0.0413	0.496	0	0	-61.6	59
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0155	0.0326	0.008	0.16	0.087	73.4	66.2	99
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0168	0.0164	0.0039	0.073	0.059	61.7	-47.7	93.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0184	0.05	0.0126	0.266	0.23	126.3	-68.1	54.6
2	12	0.0173	0.0379	0.009	0.171	0.249	89.6	177.2	59.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0231	0.3246	0.059	0.854	0.233	22.9	89.2	107
2	12	0.0133	0.0192	0.0065	0.184	0.312	173	116.9	153.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	16	0.0067	0.002	0.0012	0.056	0.035	82	98.2	81.7
2	16	0.005	0.001	0.0008	0.05	0.125	35.9	84.3	108.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	16	0.0176	0.027	0.0067	0.137	0.071	10.3	79.9	128.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0.0154	0.0089	0.0031	0.117	0.222	0	-69.8	152.7
