order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0216	0.1824	0.0358	0.574	0	0	-87	76.2
1	1	0.0179	0.0675	0.0147	0.258	0.054	54.3	6	81.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	57	0.0239	0.0399	0.0067	0.089	0.025	45.7	-62.4	128.9
0	0	0	0	0	0	0	0	0	0
2	2	0.005	0.0022	0.0017	0.111	0.069	115.1	-132.8	105.1
1	1	0.0226	0.2424	0.0442	0.643	0.07	43.6	25.2	75.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	8	0.005	0.0019	0.0015	0.096	0.104	24.1	-46.9	48.2
2	8	0.0402	0.2667	0.0266	0.21	0.091	69.3	99.9	55.9
2	8	0.0195	0.0574	0.0138	0.281	0.127	120.8	128.3	62.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	13	0.0186	0.0375	0.0081	0.139	0.129	43.7	-129.6	142.3
1	1	0.0199	0.2892	0.0582	0.933	0.092	23.2	12.3	67.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	17	0.0316	0.0929	0.0118	0.119	0.162	153.9	131.1	113
2	8	0.02	0.0326	0.0065	0.104	0.115	98.4	88.8	101.6
0	0	0	0	0	0	0	0	0	0
0	0	0.0233	0.0206	0.0035	0.049	0.138	0	74.7	113.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	17	0.0189	0.0841	0.0179	0.302	0.148	143.7	45.6	63.3
0	0	0	0	0	0	0	0	0	0
2	8	0.0276	0.0659	0.0095	0.11	0.119	11.4	-1.8	104.9
0	0	0	0	0	0	0	0	0	0
2	17	0.0138	0.0264	0.0077	0.177	0.177	105.9	72.5	130
2	17	0.0234	0.0985	0.0168	0.228	0.162	44.6	92.5	69
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	28	0.0447	0.0489	0.0044	0.031	0.053	142.9	74.3	102.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	17	0.0189	0.0361	0.0076	0.129	0.065	95.8	-108.8	82
2	17	0.0189	0.0439	0.0093	0.157	0.053	92.3	-106.6	99.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0178	0.0369	0.0082	0.144	0.029	88.5	21.2	35.4
2	57	0.0169	0.0297	0.0077	0.169	0.042	166.7	178.2	88.8
0	0	0	0	0	0	0	0	0	0
2	17	0.0189	0.0308	0.0065	0.11	0.122	56.3	150.8	34.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0.0211	0.0448	0.0085	0.128	0.16	0	-32.2	99.5
