order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0515	0.6595	0.0642	0.555	0	0	7.2	63.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0207	0.0381	0.0074	0.113	0.065	38.6	48.3	42.5
1	1	0.037	0.1699	0.0184	0.158	0.147	104.5	-53.2	120.4
1	1	0.021	0.1477	0.0295	0.473	0.168	61.7	-28.4	65
2	47	0.005	0.0017	0.0014	0.088	0.141	95.2	50	70.3
0	0	0	0	0	0	0	0	0	0
2	4	0.005	0.0023	0.0019	0.118	0.072	81.9	-163.2	67.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	5	0.0193	0.0266	0.0055	0.091	0.133	69.7	120.2	95.5
0	0	0	0	0	0	0	0	0	0
1	1	0.028	0.1927	0.0311	0.41	0.189	83.6	119.7	88.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	6	0.0162	0.0378	0.0093	0.182	0.237	93.8	-157.1	112.1
2	6	0.0169	0.0238	0.0054	0.097	0.226	66.4	-162.8	75.2
2	6	0.005	0.0019	0.0015	0.099	0.234	111.1	-10.3	124
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	14	0.0161	0.0422	0.01	0.19	0.137	39.3	70.5	78.9
2	14	0.0195	0.0596	0.0134	0.253	0.124	83.6	-152	79.2
2	14	0.022	0.1194	0.0217	0.314	0.145	106.8	130.6	93.5
0	0	0	0	0	0	0	0	0	0
3	33	0.0184	0.0481	0.0105	0.182	0.155	82.4	50.9	63.9
3	33	0.0151	0.0403	0.0095	0.18	0.156	95.9	38.3	12.5
3	32	0.0249	0.0746	0.012	0.153	0.134	48.7	37.5	116.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0257	0.105	0.0176	0.236	0.161	85.8	123.6	94.5
2	5	0.0213	0.0409	0.0073	0.105	0.17	117.9	-108.8	56.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0.0211	0.0362	0.0069	0.103	0.118	0	1	123.1
0	0	0.0214	0.0196	0.0037	0.054	0.19	0	60	70.7
