order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0557	0.448	0.0544	0.654	0	0	77.9	35.1
0	0	0	0	0	0	0	0	0	0
1	1	0.005	0.0021	0.0017	0.108	0.088	115.5	-84.2	84.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0182	0.125	0.0272	0.474	0.14	112.6	-43.9	62.8
0	0	0	0	0	0	0	0	0	0
1	1	0.0166	0.0236	0.0064	0.142	0.15	77.6	-11.6	21.6
1	1	0.019	0.0394	0.0087	0.158	0.144	164.7	42.9	112.4
0	0	0	0	0	0	0	0	0	0
2	9	0.0163	0.0277	0.0068	0.132	0.168	87.7	7.6	53.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	10	0.0243	0.0444	0.0073	0.096	0.128	80.6	-108.6	165.4
0	0	0	0	0	0	0	0	0	0
2	7	0.0272	0.098	0.0144	0.168	0.232	109	58	129
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0184	0.0232	0.0051	0.088	0.137	130.5	-132.5	130.7
1	1	0.0164	0.0233	0.0057	0.109	0.145	72.5	6.1	111.3
0	0	0	0	0	0	0	0	0	0
1	1	0.0171	0.0642	0.0167	0.358	0.207	111.8	-85.2	73.4
1	1	0.0166	0.0217	0.0052	0.099	0.205	87.5	-178.9	89.8
0	0	0	0	0	0	0	0	0	0
1	1	0.0146	0.033	0.0085	0.176	0.203	66	-24.2	40.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	24	0.0208	0.0408	0.0078	0.12	0.25	121.8	33.8	69.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	24	0.0168	0.0206	0.0049	0.093	0.357	121.4	83.2	129.5
3	34	0.0225	0.0247	0.0044	0.062	0.348	7.8	93.3	130.3
1	1	0.0402	0.1298	0.0174	0.208	0.02	45.6	-21.4	25.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	27	0.0128	0.0105	0.0033	0.081	0.242	82.3	23.3	90.6
