order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0245	0.2982	0.0454	0.552	0	0	-26.8	31
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0156	0.021	0.0061	0.144	0.129	57.5	104.8	30.9
0	0	0	0	0	0	0	0	0	0
1	1	0.0243	0.0614	0.0101	0.132	0.127	38.7	5.4	78.8
1	1	0.02	0.0342	0.0068	0.109	0.147	93.6	-132.4	74.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0167	0.2483	0.0499	0.811	0.18	87.5	-60	71.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	15	0.019	0.086	0.0181	0.303	0.191	34.5	29	23.9
2	15	0.0158	0.0275	0.0075	0.165	0.2	149.1	87.2	113
2	15	0.0375	0.2026	0.0216	0.183	0.189	112.7	177.3	71.8
0	0	0	0	0	0	0	0	0	0
1	1	0.0237	0.0779	0.0141	0.204	0.179	56.8	-12.3	27.2
0	0	0	0	0	0	0	0	0	0
3	20	0.0097	0.0051	0.0024	0.101	0.214	31.2	-36.5	92.4
3	20	0.0278	0.0816	0.0117	0.134	0.235	74.2	-105.3	119.6
2	15	0.005	0.0022	0.0018	0.113	0.24	120.8	150.2	70.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	15	0.0256	0.0663	0.0104	0.129	0.221	39.9	-3.2	130.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0.0374	0.1763	0.0189	0.161	0.31	0	-27	107.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	15	0.0547	0.3885	0.0284	0.165	0.259	12.8	-81.7	116.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	15	0.005	0.0017	0.0014	0.086	0.306	71.8	-75	106.3
0	0	0	0	0	0	0	0	0	0
1	1	0.0234	0.0918	0.0156	0.21	0.053	75.9	179.7	32.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0.0122	0.0035	0.0011	0.03	0.151	0	-80	63.4
2	15	0.0337	0.087	0.0103	0.098	0.202	48.9	-89.4	43.1
