order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.034	1.7232	0.0877	0.448	0	0	-5	30.3
1	1	0.0338	0.6423	0.0766	0.727	0.017	57.9	-147.7	31.2
2	23	0.0236	0.0637	0.0108	0.145	0.097	108.2	-173.2	124.8
0	0	0	0	0	0	0	0	0	0
2	23	0.0422	0.4307	0.0477	0.452	0.123	59.7	-152.6	126
2	23	0.023	0.0769	0.0133	0.184	0.132	137.7	-47.4	138.1
2	2	0.023	0.0321	0.0056	0.077	0.17	162.5	149	108
0	0	0	0	0	0	0	0	0	0
2	2	0.0277	0.0849	0.0122	0.141	0.122	162.2	152.6	115
0	0	0	0	0	0	0	0	0	0
2	2	0.0212	0.0748	0.0141	0.213	0.165	142.3	78.4	42
0	0	0	0	0	0	0	0	0	0
2	2	0.0308	0.1402	0.0182	0.188	0.132	145.8	36.6	111.2
2	2	0.0325	0.1714	0.0211	0.206	0.134	88.7	-132.7	99.6
2	2	0.0273	0.158	0.0231	0.269	0.149	127.2	-126.3	104.6
2	2	0.0348	0.4233	0.049	0.452	0.149	124.9	-151	93.8
2	2	0.0312	0.1752	0.0225	0.229	0.142	43	-136.9	77.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	16	0.0323	0.1733	0.0213	0.208	0.18	87.4	132.1	129.3
0	0	0	0	0	0	0	0	0	0
1	1	0.055	0.7191	0.0555	0.345	0.127	116.2	80.9	93.4
2	2	0.034	0.1687	0.0198	0.185	0.096	55.7	-11.1	30.7
3	9	0.0102	0.0096	0.0038	0.118	0.089	30.4	172.3	100.5
3	5	0.0368	0.0938	0.0102	0.088	0.145	77.7	100.3	57.9
4	25	0.005	0.0025	0.002	0.126	0.075	77.7	61.1	121.7
