order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0235	0.2628	0.0407	0.504	0	0	74.8	26
3	19	0.0194	0.0675	0.0139	0.227	0.434	63.7	156.4	34.9
0	0	0	0	0	0	0	0	0	0
3	19	0.0149	0.0433	0.0117	0.25	0.458	83.9	-153.3	64.8
0	0	0	0	0	0	0	0	0	0
3	19	0.0178	0.0166	0.0037	0.066	0.523	56.4	24.5	33.1
2	18	0.0161	0.0823	0.0193	0.364	0.119	132.2	130.8	151.8
0	0	0	0	0	0	0	0	0	0
2	18	0.0188	0.0565	0.0118	0.197	0.307	64	96.3	87.1
2	18	0.0186	0.0415	0.0094	0.168	0.662	24.5	-104.1	63.7
2	18	0.0184	0.0428	0.0093	0.162	0.586	40.2	-68.2	62
0	0	0	0	0	0	0	0	0	0
2	18	0.005	0.0017	0.0014	0.088	0.822	161.1	117.6	152.6
2	18	0.0189	0.0832	0.0199	0.385	0.798	60.8	83.4	40.6
3	14	0.0179	0.0255	0.0057	0.101	0.849	100.5	161.7	104.5
3	14	0.0139	0.0147	0.0044	0.109	1.036	77.7	-148	59.6
0	0	0	0	0	0	0	0	0	0
1	1	0.0205	0.4349	0.085	1.334	0.164	8.9	133.2	112.1
2	18	0.0176	0.1541	0.0387	0.792	0.137	115.3	18.1	18.5
