order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0309	0.418	0.0405	0.33	0	0	160.3	90.6
2	50	0.0107	0.0209	0.0075	0.217	0.001	79.7	170	62.1
2	50	0.0278	0.1943	0.0292	0.352	0.115	60.4	-0.4	34.3
2	50	0.0278	0.1367	0.0205	0.245	0.173	149.3	81.8	98.6
2	50	0.0347	0.0707	0.0082	0.075	0.187	171.1	-61.5	137.7
3	3	0.0258	0.0969	0.015	0.186	0.227	90.9	-128.1	97.4
3	3	0.0376	0.072	0.0077	0.065	0.279	69.8	26.3	100.4
0	0	0	0	0	0	0	0	0	0
3	3	0.0229	0.0627	0.0109	0.152	0.343	96.2	110.4	55.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	50	0.0275	0.1683	0.0264	0.331	0.209	51.1	-121.4	89.4
0	0	0	0	0	0	0	0	0	0
2	50	0.0136	0.0094	0.0028	0.064	0.177	88	175.2	166.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	12	0.025	0.0783	0.0149	0.233	0.17	63	127.6	92.7
0	0	0	0	0	0	0	0	0	0
2	50	0.0287	0.1042	0.0146	0.162	0.203	78.5	-174.2	154
2	50	0.0293	0.1857	0.0253	0.275	0.189	69.5	169.5	107.6
3	19	0.0192	0.0256	0.0053	0.089	0.188	89.7	173.6	97.2
2	50	0.005	0.0017	0.0013	0.085	0.246	144.8	-95.4	124.1
0	0	0	0	0	0	0	0	0	0
3	20	0.0126	0.0145	0.0045	0.109	0.185	65.4	-147.2	56
0	0	0	0	0	0	0	0	0	0
2	50	0.017	0.0497	0.0117	0.218	0.268	93.7	-175.4	78.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	50	0.0237	0.0171	0.0029	0.039	0.282	54.7	172.8	92.5
0	0	0	0	0	0	0	0	0	0
3	26	0.0162	0.0304	0.0085	0.204	0.297	130	50.1	76.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	50	0.0213	0.0936	0.0176	0.262	0.293	109.5	-4.9	62.4
2	50	0.0259	0.0919	0.0142	0.175	0.277	45.1	-146.5	173.2
2	50	0.0203	0.0216	0.0043	0.067	0.292	111.5	-160.8	175.1
0	0	0	0	0	0	0	0	0	0
2	50	0.0172	0.0995	0.0231	0.426	0.313	26.3	94.8	95.3
3	26	0.0162	0.0386	0.0096	0.188	0.286	143.7	-32.4	63.1
3	26	0.0162	0.0298	0.0074	0.145	0.298	127.9	56.3	82.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0.0213	0.0407	0.0076	0.114	0.301	0	-127.9	82.1
3	39	0.0211	0.0345	0.0065	0.099	0.247	161.6	-77.4	64
3	39	0.0262	0.0536	0.0082	0.099	0.271	46.1	-169.2	154
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0293	0.5956	0.0971	1.311	-0.004	95.7	62.3	40.7
3	4	0.0207	0.0224	0.0043	0.067	0.166	100.7	178.2	36.5
3	12	0.0215	0.0225	0.0042	0.062	0.16	112.7	50.3	120.3
