order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0343	0.2585	0.0365	0.437	0	0	-17.7	77.8
0	0	0	0	0	0	0	0	0	0
1	1	0.025	0.4577	0.0717	0.895	0.018	117.3	127.7	48.2
1	1	0.0233	0.0475	0.0082	0.111	0.025	109	91.5	90.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0286	0.1794	0.0251	0.279	0.059	127.2	164.9	56.1
1	1	0.02	0.0503	0.0101	0.161	0.095	118.9	95.9	88.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0126	0.0258	0.0076	0.182	0.049	131.9	-54	61
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0194	0.0524	0.0107	0.173	0.042	115.1	173.6	144.5
2	3	0.0241	0.0554	0.0092	0.122	0.053	54.3	150.3	111.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	7	0.0168	0.0245	0.0058	0.11	0.096	70.6	167.2	22.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0153	0.0527	0.013	0.254	0.112	93.1	48	57.4
1	1	0.0228	0.1459	0.0256	0.356	0.097	95.5	-31.4	37.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	69	0.0201	0.0423	0.0084	0.133	0.115	59	35.4	44.1
2	3	0.0186	0.0533	0.0113	0.192	0.053	53.6	104.5	77.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	69	0.0189	0.0231	0.0056	0.117	0.145	99.6	-85.6	98.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0193	0.0312	0.0065	0.107	0.085	86.2	-96.1	59.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0237	0.0653	0.0114	0.16	0.08	28	-73.1	119.3
2	27	0.005	0.0021	0.0017	0.108	0.05	140.8	61.6	66.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0221	0.0384	0.0069	0.1	0.055	75.5	-178.4	73.5
2	8	0.019	0.0315	0.0077	0.158	0.108	107.9	-74.4	123.3
0	0	0	0	0	0	0	0	0	0
2	27	0.0212	0.0725	0.0157	0.274	0.106	73	134.5	36.1
0	0	0	0	0	0	0	0	0	0
0	0	0.0233	0.0205	0.0035	0.048	0.104	0	109.4	80.6
3	57	0.005	0.0032	0.0025	0.161	0.061	111	-164.9	46.2
