order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0244	0.3401	0.053	0.662	0	0	69.7	26.7
1	1	0.0228	0.6017	0.1052	1.464	0.116	14.8	105.3	103.4
2	2	0.0193	0.0974	0.0204	0.341	0.074	68.7	129.1	104.8
2	2	0.0217	0.0581	0.0108	0.161	0.34	123	100	110.2
2	12	0.0194	0.0612	0.0126	0.214	0.462	30.5	-148.4	82.6
2	12	0.0123	0.0066	0.0025	0.083	0.499	29.2	-2.3	18.9
0	0	0	0	0	0	0	0	0	0
2	2	0.0216	0.0408	0.0076	0.112	0.595	33.9	-70.4	60.3
2	2	0.0115	0.0077	0.0031	0.11	0.676	51.5	-146.1	63.5
2	2	0.0217	0.0323	0.0061	0.093	0.856	126.9	145.6	134.9
2	2	0.0178	0.0301	0.0068	0.121	1.023	63.2	67.7	59.1
1	1	0.0241	0.328	0.0544	0.717	0.153	110.1	27.3	13.4
2	12	0.0229	0.0816	0.0151	0.224	0.437	98.5	127.4	14.1
