date;placette;element;type;azimut;distance;stade_saproxylation;anciennete;essence;epiphytes;fourches;notes;longueur_tot;circ_ml;volume_1;volume_2;volume_3;volume_4;volume_5;volume_6;volume_tot
12/06/2023;BM01;17;billon;;;2;≤ 3 ans;;;;;3,51;21;0,01375686;;;;;;0,01375686
13/06/2023;BM02;1;billon;19;4,57;2;> 3 ans;chêne;mousse;;;2;22,7;0,009382542;;;;;;0,009382542
13/06/2023;BM02;2;billon;24;8,42;2;> 3 ans;chêne;mousse;1;;5,85;28,85;0,033486305;;;;;;0,033486305
13/06/2023;BM02;3;billon;55;4,34;4;> 3 ans;;mousse;;sous la litière;1,58;32,5;0,012183163;;;;;;0,012183163
13/06/2023;BM02;4;billon;116;12,18;1;frais;;;;attaché à un arbre vivant;3;22,8;0,012003837;;;;;;0,012003837
13/06/2023;BM02;5;billon;161;14,6;1;≤ 3 ans;;un peu de mousse;;;1,19;21,6;0,004173038;;;;;;0,004173038
13/06/2023;BM02;6;billon;169;15,04;3;> 3 ans;;un peu de mousse;;;2,83;32;0,023241679;;;;;;0,023241679
13/06/2023;BM02;7;billon;172;14,71;2;> 3 ans;;mousse;;;3,63;45,9;0,057949434;;;;;;0,057949434
13/06/2023;BM02;8;billon;176;15,5;3;> 3 ans;;;;brisé en deux;1,5;92,65;0,103935963;;;;;;0,103935963
13/06/2023;BM02;9;billon;180;16,12;1;≤ 3 ans;chêne;;;;1,47;91,85;0,110675883;0,027614576;0,163927005;;;;0,302217464
13/06/2023;BM02;10;billon;120;10,45;4;> 3 ans;;un peu de mousse;;;3,36;26,15;0,01867459;;;;;;0,01867459
13/06/2023;BM02;11;billon;208;9,76;2;≤ 3 ans;;un peu de mousse;;;3;24;0,012334986;;;;;;0,012334986
13/06/2023;BM02;12;billon;195;14,99;3;> 3 ans;;;;;3;29,8;0,020070168;;;;;;0,020070168
13/06/2023;BM02;13;billon;214;11,96;4;> 3 ans;;;;recouvert de feuilles;2,97;30,6;0,018793914;;;;;;0,018793914
13/06/2023;BM03;1;billon;330;2,85;3;≤ 3 ans;noisetier;;;;3,44;26,2;0,02287858;;;;;;0,02287858
13/06/2023;BM03;2;billon;82;2,85;5;> 3 ans;;;;très dégradé;7;24,35;0,044091808;;;;;;0,044091808
13/06/2023;BM03;3;billon;40;5,78;4;> 3 ans;;mousse;1;recouvert partiellement;3,15;21,15;0,019318346;;;;;;0,019318346
13/06/2023;BM03;4;billon;89;4,3;2;≤ 3 ans;;;1;;5,34;41,6;0,072416675;0,001420697;0,00383696;;;;0,077674332
13/06/2023;BM03;5;billon;110;14,85;3;> 3 ans;chêne;couvert de mousse;;;2;34,6;0,019436201;;;;;;0,019436201
13/06/2023;BM03;6;billon;111;13,1;3;> 3 ans;chêne;couvert de mousse;;groupé avec 5;1,5;25,2;0,0068819;;;;;;0,0068819
13/06/2023;BM03;7;billon;113;11,96;3;> 3 ans;chêne;couvert de mousse;;groupé avec 5;1,85;23,5;0,009839811;;;;;;0,009839811
13/06/2023;BM03;8;billon;111;13,52;3;> 3 ans;chêne;couvert de mousse;;groupé avec 5, présence d'un dernier billon semblable mais non mesurable car sous le tas de bois;1,7;27,05;0,009838537;;;;;;0,009838537
13/06/2023;BM03;9;billon;201;10,31;3;> 3 ans;sorbier;;;;8,63;37,4;0,123114637;;;;;;0,123114637
13/06/2023;BM03;10;branches;214;15,95;1;≤ 3 ans;chêne;couvert de mousse;2;;1,5;77,3;0,071922066;0,00606114;0,146202304;0,021809612;0,32993815;;0,575933272
13/06/2023;BM03;11;billon;39;16,79;3;> 3 ans;chêne;;;;2,7;31,45;0,021560267;;;;;;0,021560267
13/06/2023;BM03;12;billon;28;15,29;2;≤ 3 ans;chêne;;;;1,22;27,05;0,007628895;;;;;;0,007628895
13/06/2023;BM03;13;billon;43;16,47;2;> 3 ans;;;;;3,23;26,5;0,016908402;;;;;;0,016908402
13/06/2023;BM03;14;billon;70;12,3;3;≤ 3 ans;sorbier;;;;5,43;29,05;0,040958745;;;;;;0,040958745
