//X Y Z R G B PointSourceId ScanDirectionFlag NumberOfReturns ReturnNumber GpsTime Intensity Classification Nx Ny Nz
4.42999983 -17.95000076 -0.12000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.786089 0.088635 0.611725
4.42000008 -17.96999931 -0.10000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.657235 0.001378 0.753685
4.44999981 -17.97999954 -0.10000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.326332 0.074702 0.942299
4.42000008 -18.04000092 -0.11000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.501801 -0.391373 0.771377
4.46999979 -18.02000046 -0.11000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.807711 0.106624 0.579857
4.46999979 -18.17000008 -0.12000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.129656 -0.032696 0.991020
4.48999977 -18.15999985 -0.12000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.491395 0.210166 0.845199
4.42000008 -18.10000038 -0.14000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.651786 -0.067625 0.755382
4.44000006 -18.11000061 -0.15000001 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.653348 0.166002 0.738634
4.46000004 -18.17000008 -0.10000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.091506 -0.471607 0.877048
4.42999983 -18.14999962 -0.14000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.619263 -0.165036 0.767644
4.44999981 -18.17000008 -0.12000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.207235 0.001158 0.978290
4.44000006 -18.14999962 -0.15000001 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.043050 -0.032550 0.998543
4.44000006 -18.20000076 -0.12000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.083168 -0.167542 0.982351
4.46999979 -18.19000053 -0.12000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.049865 -0.220136 0.974194
4.44999981 -18.19000053 -0.12000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.103988 -0.170051 0.979933
4.09999990 -17.88999939 0.13000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.403021 -0.115746 0.907842
4.09000015 -17.90999985 0.13000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.478202 -0.001325 0.878249
4.11999989 -17.92000008 0.11000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.345484 -0.357768 0.867550
4.09999990 -17.89999962 0.12000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.410261 -0.165544 0.896817
4.09000015 -17.90999985 0.13000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.478202 -0.001325 0.878249
4.07999992 -17.92000008 0.13000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.152900 -0.464526 0.872260
4.11999989 -17.89999962 0.12000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.514458 -0.012153 0.857430
4.19999981 -17.97999954 0.06000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.528916 0.051636 0.847102
4.19000006 -17.97999954 0.07000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.374520 0.122997 0.919025
4.19000006 -18.01000023 0.08000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.378681 0.126227 0.916879
4.19000006 -18.00000000 0.06000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.360740 -0.229296 0.904041
4.19999981 -17.98999977 0.06000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.466718 0.053378 0.882794
4.19000006 -17.98999977 0.07000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.430143 0.163657 0.887803
4.21999979 -18.03000069 0.07000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.288905 -0.033768 0.956762
4.21000004 -18.04000092 0.07000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.160538 -0.055075 0.985492
4.21000004 -18.05999947 0.03000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.431471 0.111030 0.895268
4.21000004 -18.06999969 0.03000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.161030 -0.591447 0.790101
4.19000006 -18.03000069 0.07000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.232497 -0.521964 0.820669
4.19000006 -18.02000046 0.07000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.385541 -0.192048 0.902483
4.19000006 -18.04999924 0.05000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.210559 -0.184073 0.960095
4.19999981 -18.04000092 0.04000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.121504 -0.218707 0.968196
4.17000008 -18.02000046 0.05000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.509613 -0.443644 0.737207
4.17000008 -18.03000069 0.04000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.380978 -0.264443 0.885960
4.19000006 -18.07999992 0.02000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.091563 -0.614777 0.783368
4.19999981 -18.07999992 0.02000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.096270 -0.533080 0.840570
4.17999983 -18.05999947 0.04000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.020646 -0.557437 0.829962
4.13000011 -17.93000031 0.13000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.534814 -0.303114 0.788731
4.07999992 -17.94000053 0.15000001 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.243537 -0.488605 0.837828
4.09000015 -17.93000031 0.14000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.675591 -0.126766 0.726297
4.09999990 -17.93000031 0.13000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.624631 -0.359040 0.693488
4.09000015 -17.93000031 0.13000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.056352 -0.193037 0.979572
4.13000011 -18.01000023 0.08000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.130055 -0.521683 0.843168
4.09000015 -18.01000023 0.08000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.201463 0.039339 0.978706
4.07999992 -17.98999977 0.08000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.138583 -0.591585 0.794243
4.13000011 -18.04999924 0.06000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.323241 -0.432549 0.841675
4.11999989 -18.04000092 0.07000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.155830 -0.526855 0.835548
4.13999987 -18.04000092 0.08000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 -0.431219 0.617693 -0.657651
4.15000010 -18.02000046 0.08000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.160034 -0.380965 0.910634
4.13000011 -18.02000046 0.09000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.191495 -0.419535 0.887310
4.15000010 -18.04999924 0.04000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.297752 -0.367278 0.881164
4.11999989 -18.05999947 0.04000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.152777 -0.651951 0.742710
4.15000010 -18.05999947 0.04000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.568546 -0.455170 0.685256
4.13999987 -18.07999992 0.02000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 -0.077036 0.713673 -0.696231
4.15000010 -18.06999969 0.04000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.399176 -0.506709 0.764137
4.11000013 -18.04999924 0.07000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.337877 -0.359281 0.869918
4.09000015 -18.04999924 0.07000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 -0.028315 -0.473266 0.880464
4.09999990 -18.05999947 0.07000000 6 222 141 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 232.000000 0.220364 -0.375057 0.900429
