//X Y Z R G B PointSourceId ScanDirectionFlag NumberOfReturns ReturnNumber GpsTime Intensity Classification Nx Ny Nz
20.36000061 5.55999994 -0.31999999 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.513291 0.734452 0.443972
20.38999939 5.55999994 -0.31999999 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.353462 0.737872 0.574986
20.37999916 5.57000017 -0.31000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.488119 0.790978 0.368908
20.22999954 5.53000021 -0.31999999 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.452939 0.891180 0.025386
20.28000069 5.44000006 -0.22000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.915355 0.394620 -0.080009
20.29000092 5.48000002 -0.31000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.870051 0.473389 0.137529
20.27000046 5.46000004 -0.28000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.604563 0.715372 -0.350353
20.27000046 5.46000004 -0.28999999 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.725468 0.660777 -0.192534
20.26000023 5.48000002 -0.28000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.683041 0.728673 0.049909
20.25000000 5.48999977 -0.28000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.880658 0.449729 0.148946
20.25000000 5.48000002 -0.27000001 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.940626 0.334358 0.058545
20.25000000 5.48999977 -0.27000001 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.949651 0.313249 -0.006191
20.26000023 5.48000002 -0.30000001 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.651465 0.664593 0.365936
20.23999977 5.51999998 -0.31999999 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.818228 0.518159 0.249026
20.23999977 5.51999998 -0.31999999 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.818228 0.518159 0.249026
20.25000000 5.50000000 -0.30000001 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.807722 0.581502 -0.097159
20.25000000 5.48999977 -0.28999999 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.908420 0.350287 0.228195
20.25000000 5.50000000 -0.31000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.816760 0.496954 0.293156
20.26000023 5.46999979 -0.30000001 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.456325 0.869823 0.187551
20.30999947 5.40000010 -0.22000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.947427 0.269725 -0.172136
20.30999947 5.36999989 -0.25000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.912526 0.404522 -0.060477
20.29999924 5.40999985 -0.22000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.776331 0.614783 -0.139111
20.27000046 5.42000008 -0.23000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.488091 0.856739 -0.166629
20.29000092 5.42000008 -0.23000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.500039 0.820937 -0.275723
20.29999924 5.40000010 -0.25000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.855851 0.411734 -0.313041
20.18000031 5.44999981 -0.23999999 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.760873 0.612107 0.215400
20.20999908 5.44999981 -0.23000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.974175 0.191826 -0.119108
20.18000031 5.44999981 -0.23999999 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.760873 0.612107 0.215400
20.18000031 5.46000004 -0.23999999 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.908186 0.409574 -0.086298
20.20000076 5.51000023 -0.31999999 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.927164 0.361391 0.098807
20.15999985 5.46000004 -0.25000000 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.687090 0.690220 0.226943
20.10000038 5.53999996 -0.30000001 140 63 154 0.000000 0.000000 0.000000 0.000000 51.808199 0.000000 93.000000 0.947966 0.219601 -0.230513
