cluster,volume
5,0.03518633384928342
35,0.0037219696293666693
37,0.014371189226099996
39,0.017890821323166675
41,0.0032608908891833353
42,0.007327066661000003
43,0.0039935877120499995
46,0.0031043130980499684
47,0.0011301291851833345
48,0.0021644643307166672
49,0.017765268965833334
51,0.001348614606716668
52,0.015269070837933343
53,0.0030752388325833335
54,0.028124716146100015
55,0.33470305679760004
63,0.025306512436733226
67,0.00041224119934999955
68,0.0008427767519165439
69,0.032847921597916656
72,0.004236114510416678
77,0.010069382341833345
87,0.029295106421500006
145,0.016584750453250002
292,0.2918270019309327
469,0.036481932616516666
470,0.22723102761371683
611,0.006021175264550002
765,0.004113117404400008
1078,0.0038252985700000194
