plot,cluster,azimuth,distance
07_04,1,210.01237107659315,13.814684081833953
07_04,2,220.85659092950473,3.2203439413156425
07_04,3,318.98612376640034,4.1380134513432205
07_04,4,339.5790124040057,6.181040207308214
07_04,5,344.04682879547954,19.688280601223955
07_04,6,346.7814534506014,18.45321941824765
07_04,7,350.9340645748547,18.56096017881981
07_04,8,2.013330219266479,19.32504384752344
07_04,9,21.4622560106511,16.649173995916907
07_04,10,18.68660995557423,16.83125747507617
07_04,11,23.352374696313536,11.9125394947648
07_04,12,22.875811411949798,10.498059075294226
07_04,13,25.245622155568487,17.53935834384639
07_04,14,37.78221082826743,7.462452519057779
07_04,15,56.90555696150493,4.738885846382998
07_04,16,38.30806783917564,5.817072731671344
07_04,17,47.07373795051477,5.272448056972427
07_04,18,37.44535139907707,8.303623561858263
07_04,19,61.942142824571434,5.235414362574295
07_04,20,59.87998765411393,5.796322664469836
07_04,21,134.8770846586349,19.98626162393361
07_04,22,150.08786401089128,6.0157068356874435
07_04,23,150.31645897307897,18.456236337014417
07_04,24,274.24772532186194,6.64953924269391
07_04,25,315.59801000360756,20.036051356953294
07_04,26,327.2176196707301,21.31575904419817
07_04,27,321.8134678837162,7.132520547344111
07_04,28,251.81209667338356,19.967300575844696
07_04,29,232.14825744573284,13.183565766929872
07_04,30,226.88077237930798,10.916373399720515
07_04,31,51.44916231818768,19.226403987573157
07_04,32,189.64777229407903,18.642127158554285
07_04,33,14.285781687557105,13.304500631186718
07_04,34,186.8048354572681,19.227167676694094
07_04,35,153.85326676139155,18.886847417251577
07_04,36,310.4834065091578,14.81887444352904
07_04,37,304.08120020839317,13.958983659055482
07_04,38,304.71493040206053,13.317390937020281
07_04,39,301.80097753815494,12.852499603662945
07_04,40,303.920727932353,14.363240281941824
07_04,41,306.50710619101017,14.667137539086049
07_04,42,45.2738738085255,19.434337519222506
07_04,43,44.74025036633919,19.88888959755181
07_04,44,234.0392300858245,15.93593237159659
07_04,45,7.567982925141285,14.793472403552302
07_04,46,276.8480269140361,13.072170450199671
07_04,47,5.815705523874832,16.951688578967204
07_04,48,7.539638656422884,21.994840604305146
07_04,49,122.17213563384199,10.895069621666785
07_04,50,122.91443949919102,16.503407138953083
07_04,51,125.88162403989651,16.98093895010122
07_04,52,311.2725572710618,19.749292063523928
07_04,53,326.9282269620992,19.21753009707966
07_04,54,119.19970180015983,16.418642158152085
07_04,55,123.21647425851894,18.23985866244337
07_04,56,120.84077258933202,18.07509742802505
07_04,57,123.4547124396634,19.589514228991117
07_04,58,11.805183267647156,20.076884590816793
07_04,59,357.1306981060465,18.214669937116362
07_04,60,61.246162117779676,16.31377471327067
07_04,61,62.27256436757599,18.724150317083303
07_04,62,61.51650983095285,16.759513440120553
07_04,63,321.5095930935695,18.71555845037861
07_04,64,49.872621994671036,20.357523951470643
07_04,65,43.72558634838447,21.36255310045156
07_04,66,98.05522532262225,17.754421400326823
07_04,67,99.4096091689442,21.879371478779298
07_04,68,309.0959633177873,19.632678741021905
07_04,69,331.5414561049014,20.263244590612615
07_04,70,69.12690139898129,14.432594291761996
07_04,71,75.58752703336589,12.48491297568573
07_04,72,74.56978889286644,21.74208333115595
07_04,73,300.1666068261228,21.965792753859414
07_04,74,299.74229297104347,13.619116559873437
07_04,75,305.98611623597145,11.173394767993965
07_04,76,331.88381316188946,19.92515117948656
07_04,77,319.6804982542667,19.774531816261675
BM01,1,184.38515355574248,9.63861807777632
BM01,2,222.03361563815264,6.648327923161204
BM01,3,217.4293710484216,7.32636455074698
BM01,4,240.47832255219316,13.722949126814173
BM01,5,244.3262907939862,10.855939079175151
BM01,6,222.88383868698037,8.945305283340236
BM01,7,229.1350314070751,7.199452897838722
BM01,8,232.86042489976052,7.083675641353167
BM01,9,263.523997193657,8.680214148318173
BM01,10,242.05069207243343,7.414543488035387
BM01,11,210.642479406031,11.370521448004569
BM01,12,207.5720005883499,11.968413554754358
BM01,13,0.7757040929726757,4.683426525423495
BM01,14,202.4565043514817,11.30692286010256
BM01,15,231.31874516760368,13.36305024426523
BM01,16,234.95963068823355,8.648330119356125
BM01,17,353.3704952256263,18.82897927453741
BM01,18,163.42526831815027,4.977110906572447
BM01,19,347.274692550869,16.056785039146803
BM01,20,268.83446603548595,10.027735158089504
BM01,21,302.6658717598949,9.815419804755125
BM01,22,270.8594388972823,9.675766084697326
BM01,23,337.0357081025582,16.810877408503767
BM01,24,273.04207690042404,11.271413589055658
BM01,25,356.2359955353641,18.15382451150888
BM01,26,349.31215181759023,6.667221412075623
BM01,27,350.5544593973289,17.17087978996547
BM01,28,350.04642514152164,18.187001164177424
BM01,29,344.436687187526,17.441219736751368
BM01,30,244.51398451133826,5.778784788729455
BM01,31,178.38091126567755,4.9321870638193
BM01,32,251.50971051327286,2.4075728411651176
BM01,33,329.9407347532308,15.899884748166615
BM01,34,343.07510674018005,14.837063505601382
BM01,35,327.369401856185,10.907670802119199
BM01,36,45.929043677024815,6.691096576417323
BM01,37,338.4256379767013,6.8918607671796135
BM01,38,344.0347277872838,12.517480142786646
BM01,39,336.1046153177655,14.438541979632033
BM01,40,335.3960331973029,12.061127257458653
BM01,41,352.96586853995575,9.998149937037288
BM01,42,339.18134128491835,12.314914177424834
BM01,43,349.7525796562672,10.536571539180958
BM01,44,340.2914309614843,11.831715395290482
BM01,45,345.0615558533864,11.529192114436917
BM01,46,349.8085831653366,11.254018298218172
BM01,47,335.59718362305586,13.239855865008787
BM01,48,327.38204637676984,13.588993757137398
BM01,49,60.3948884598291,5.697507217265168
BM01,50,359.9248222709529,9.072757034867413
BM01,51,279.07703130489233,7.524382916691053
BM01,52,342.28679925433875,6.9880346977741326
BM01,53,337.7965332333544,8.18027130948191
BM01,54,335.39480445400125,7.5999451410139365
BM01,55,286.70467190996874,4.924632409948776
BM01,56,273.701247505738,5.057872306608112
BM01,57,267.520197335787,6.245651074055574
BM01,58,265.39082294635625,6.452987845258675
BM01,59,266.51323239477966,5.423703599021577
BM01,60,53.39135239887653,4.497656623542916
BM01,61,314.42523251975433,9.470926045952554
BM01,62,334.81925647915295,8.590393648777134
BM01,63,323.78989894800554,8.92192528543188
BM01,64,327.3062383268372,7.145606106422452
BM01,65,327.86679543998787,8.043480448026655
BM01,66,320.6979828080164,8.17124610465381
BM01,67,271.21991272501737,2.6247134981000384
BM01,68,238.51035831551815,5.31302713115826
BM01,69,314.89821152450247,8.263522925546027
BM01,70,297.226942214514,8.284730939932436
BM01,71,320.2199541534659,5.809467981352748
BM01,72,299.56760494307446,5.226503417220395
BM01,73,311.52488533554146,7.531498621871357
BM01,74,3.166543265946249,15.112081071041493
BM01,75,3.3490976720567303,14.45321431341114
BM01,76,1.6693746944127035,15.185578403047947
BM01,77,354.8405583739422,16.762128921804724
BM01,78,357.6719102293936,17.297499287524083
BM01,79,355.4718774176956,14.72802210868357
BM01,80,32.7889682197466,4.519920830587209
BM01,81,27.17909961875863,21.96339737098865
BM01,82,342.7197921997432,20.106048737614632
BM01,83,345.09471251880103,20.684133184320064
BM01,84,340.11039114176947,19.62643419756961
BM01,85,340.78787937284324,20.879091862195537
BM01,86,337.2146970495003,20.424945553686968
BM01,87,34.0930945229424,21.50691356198051
BM01,88,308.67343596259184,11.522452138783063
BM01,89,310.0079704579997,20.050604523602274
BM01,90,345.10912419368873,19.777021276122586
BM01,91,340.03317783813503,19.17020289123806
BM01,92,343.8966140053654,20.946303480421204
BM01,93,346.0144640827339,21.121969963758207
BM01,94,344.36887059576827,21.55484450458858
BM01,95,346.2872923244423,21.522884812160633
BM01,96,72.73122053399162,3.119499702610286
BM01,97,63.7340054762939,10.121636425493122
BM01,98,81.41469651124724,7.588306840955822
BM01,99,77.49855579701583,5.875402009756003
BM01,100,74.81620547818439,10.058366409092066
BM01,101,69.80580272323084,8.329535142572597
BM01,102,79.43303331994359,9.315965538200818
BM01,103,91.10093354304257,4.523827746720832
BM01,104,82.82407445859866,11.051934509471879
BM01,105,90.1850982315934,13.141164801354995
BM01,106,94.6600616035023,13.281688455121255
BM01,107,90.33722031644523,11.201070252372645
BM01,108,100.29994495924267,7.334680804127462
BM01,109,93.89167218335066,7.787480439572925
BM01,110,92.61795490928559,8.2961446089041
BM01,111,108.89088823344689,6.595623794168204
BM01,112,98.25221379428534,5.31132721871125
BM01,113,118.63529400056353,3.0457608683130295
BM01,114,124.248073345302,6.389067977226084
BM01,115,119.45195270453725,4.399871006403871
BM01,116,125.70334915474228,5.4408116375249245
BM01,117,94.45426902841447,19.083608537859686
BM01,118,97.6617762304109,17.57851215023003
BM01,119,100.46272261460055,17.605526057328486
BM01,120,98.4467557287229,18.03651411480559
BM01,121,100.11775344469513,18.955326813519175
BM01,122,98.45346260916297,18.919080943008012
BM01,123,105.73621606790573,18.05801653237172
BM01,124,121.3470041511654,13.067292420231631
BM01,125,105.9411251467597,13.057994653357682
BM01,126,124.55337525401637,14.632369445629196
BM01,127,120.14367358861332,11.39748456256471
BM01,128,112.79693884935797,14.58332836658394
BM01,129,127.77124331393385,10.997517452995528
BM01,130,118.04897733693774,14.156369935102221
BM01,131,122.3452520417453,14.425234040875196
BM01,132,106.21892534506674,11.86433260050761
BM01,133,122.36182684510113,12.30599634504289
BM01,134,101.0718715123915,11.03539255484511
BM01,135,128.59765693828558,9.551358522344946
BM01,136,119.44885785280387,12.586380591462346
BM01,137,108.95649054576373,13.125874453625201
BM01,138,113.46446241369686,12.058526233136787
BM01,139,129.74959371033574,8.980810272789315
BM01,140,114.05644973759624,13.167330425928593
BM01,141,126.25612420976486,10.604352085727918
BM01,142,105.12877543644903,15.029731393126246
BM01,143,101.74631736971247,14.41520596550183
BM01,144,114.3285639728367,9.498938239131666
BM01,145,97.8286980936841,16.040699372157363
BM01,146,107.9223134183242,4.1171301533725915
BM01,147,106.84553169444584,9.189761923325204
BM01,148,105.8931843631449,9.625508152755337
BM01,149,105.04360397538201,16.12272992719154
BM01,150,109.72147809292453,8.592656652996904
BM01,151,108.97796876767431,10.690977439853636
BM01,152,116.62761752674695,18.8776248783893
