cluster,volume
1,0.024743366100716663
2,0.03144602320770002
3,0.019400890440333333
4,0.012284141453616665
5,0.3128628305470334
6,0.0007158740053333338
7,0.01804776901366667
8,0.0005126113719166664
9,0.03414687335785001
10,0.00425796655131667
11,0.004765474263816691
12,0.0023923713739166692
13,0.0019414917885166674
14,0.0014934786369500083
15,0.0006621095618833279
16,0.01201051602285003
17,0.019459758479633327
18,0.0013599750773000002
19,0.0011837786138333348
20,0.05169312932095002
21,0.007452395605899988
22,0.004742771092516669
23,0.013155825298950015
24,0.0003114985510666683
25,0.0020648374740666665
26,0.028897096959849995
27,0.0015847732784333435
28,0.022117359234916607
29,0.04351020651975005
30,0.05698144593785002
31,0.024793949153199962
32,0.00807835212324999
33,0.0011373506832833371
34,0.0006768412161333263
35,0.006288700126933307
36,0.0007133783777166721
37,0.0006591316583833412
38,0.0020843825565000085
39,0.0030300454746333416
40,0.0010097799143333358
41,0.0006483883094166644
42,0.0005283160987666751
43,0.0028015521505666665
44,0.0026392557003500038
45,0.0032864165058166805
46,0.000822675630800002
47,0.002992290487016662
48,0.015437698934783336
49,0.00029344876100000084
50,0.0011295510784166654
51,0.0028833486101833444
52,0.08893377850325007
53,0.001611592407166675
54,0.03051915058676665
55,0.007240670321599999
56,0.0014872937434499977
57,0.0010231089178333365
58,0.02267325613046667
59,0.05103056442738335
60,0.003133776771266677
61,0.0019000146652666677
62,0.002115523806550006
63,0.001501727274133347
64,0.0009202835020000043
65,0.0013504511244999966
66,0.0015344978873999987
67,0.0015893699370333313
68,0.000817679349316678
69,0.002718622157899986
70,0.0007827780153833336
71,0.0022345449670000033
72,0.0008136898804999987
73,0.0020010674921333315
74,0.0005958296929999933
75,0.0037831949248999935
76,0.0007348678753999888
77,0.0026852051053999995
78,0.001647905089866654
79,0.0018340153174833441
80,0.0018212948722666673
81,0.0019372870620833337
82,0.0016372395283333328
