cluster,volume
5,0.035159619054083435
11,0.0025820833946000044
78,0.008660945138499992
79,0.007584166488050008
80,0.008548101292216687
84,0.0036443663609166607
85,0.007758574953000025
87,0.002310551969116674
88,0.007964204603883349
89,0.0034027401831999934
90,0.0019285538539666792
92,0.0010954187319333294
100,0.007696190232416661
115,0.003770906037016679
124,0.012596350499933323
179,0.00383478689106669
184,0.019788340155950004
369,0.0030268000507833273
393,0.048045456161199984
394,0.006001294388233342
410,0.010974457811016677
462,0.0029024733705166755
480,0.01109432784046667
483,0.023908000027683257
487,0.004589728369316665
504,0.009141847497166676
512,0.010179404081166663
514,0.010272356826116671
515,0.0010796880175000083
516,0.010808905480533332
519,0.011944937019783339
557,0.0034938874231999944
558,0.003238649186033319
582,0.0028368809068333397
585,0.002988662466749984
586,0.0017468387047166675
589,0.0389468178237834
611,0.0016088452668833416
612,0.0025507116813333224
613,0.016662787997699983
661,0.003764144354350009
696,0.007928645320616656
833,0.0077985672746666655
950,0.005961577440899974
1168,0.0064657071972333184
1295,0.002292610258050009
