"reference";"total_length";"total_volume";"mean_circ";"num_orders";"length_ord01";"volume_ord01";"circ_ord01";"inv_circ_ord01"
BM01_cl_dw_cluster_220_QSM;27.7793350219727;0.00764650297164917;5.69399299193671;5;12.9451565742493;0.00340637874603272;6.10257396528359;NA
BM01_cl_dw_cluster_221_QSM;8.52713871002197;0.00535351848602295;8.14244226344566;4;5.37519240379333;0.00366233956813812;9.73174501658657;NA
BM01_cl_dw_cluster_222_QSM;8.67685031890869;0.00279440975189209;6.03118779685836;5;4.69819355010986;0.00170424550771713;7.01349044278168;NA
BM01_cl_dw_cluster_223_QSM;14.3701324462891;0.00620650577545166;6.76160029479345;5;7.64027428627014;0.00367267441749573;7.45400380343811;NA
BM01_cl_dw_cluster_224_QSM;10.2342262268066;0.00410954284667969;6.78072472609346;4;6.72035264968872;0.00283284080028534;8.15490684063411;NA
BM01_cl_dw_cluster_225_QSM;7.42782211303711;0.00787363243103027;11.033458263107;3;6.55991172790527;0.00656102204322815;11.8038348455362;NA
BM01_cl_dw_cluster_226_QSM;9.34434604644775;0.00341127347946167;6.13768654497932;5;5.23032343387604;0.0017813812494278;7.07270739568078;NA
BM01_cl_dw_cluster_227_QSM;5.87558698654175;0.00152395582199097;5.51437128914755;4;3.5946307182312;0.000893800884485245;6.1012708047515;NA
BM01_cl_dw_cluster_228_QSM;11.9743137359619;0.00558359622955322;7.38196643616855;4;8.16661667823792;0.00367435187101364;7.81183393421647;NA
BM01_cl_dw_cluster_229_QSM;4.04838037490845;0.00165718507766724;6.59792058073276;4;2.54984331130981;0.00101693993806839;7.63469804940878;NA
BM01_cl_dw_cluster_23_QSM;6.78033447265625;0.00256587600708008;6.73055757708221;4;4.54075360298157;0.00177261489629745;7.52415455764091;NA
BM01_cl_dw_cluster_230_QSM;1.84528708457947;0.000469132572412491;5.30207472016017;2;1.4659221470356;0.000314219579100609;5.3590606315654;NA
BM01_cl_dw_cluster_231_QSM;7.04729557037354;0.00293700218200684;6.74237387315009;5;4.18390595912933;0.00177553194761276;7.75457217239425;NA
BM01_cl_dw_cluster_232_QSM;7.87979078292847;0.00464874649047852;8.0377419797388;4;4.92587900161743;0.00288985145092011;9.61278147465385;NA
BM01_cl_dw_cluster_233_QSM;7.48063087463379;0.0150537185668945;13.5828187171776;2;6.771399974823;0.0104219210147858;15.9357643222133;24.6459166402116
BM01_cl_dw_cluster_234_QSM;3.89430522918701;0.00311598801612854;9.78096671667947;2;3.30851972103119;0.00261465895175934;10.2762088137872;NA
BM01_cl_dw_cluster_235_QSM;5.01282691955566;0.0253972225189209;15.015555048996;3;2.82418203353882;0.00409863114356995;23.1751189788649;35.5498772903211
BM01_cl_dw_cluster_236_QSM;4.7728214263916;0.0022823224067688;7.09808971834387;4;3.5966876745224;0.00140348380804062;7.87718902670154;NA
BM01_cl_dw_cluster_237_QSM;3.72228765487671;0.00093312805891037;5.2831591620304;3;2.91272211074829;0.000624163866043091;5.48670593634515;NA
BM01_cl_dw_cluster_238_QSM;9.79127597808838;0.00239439535140991;5.33180299243691;5;5.97897458076477;0.00147918659448624;5.71741846316402;NA
BM01_cl_dw_cluster_239_QSM;20.3303985595703;0.00521734142303467;5.4901978666942;5;11.2660708427429;0.00302836346626282;6.07644519192436;NA
BM01_cl_dw_cluster_24_QSM;4.12881565093994;0.000899435043334961;5.16838769253472;2;3.4883621931076;0.000744561076164246;5.14303717830363;NA
BM01_cl_dw_cluster_240_QSM;5.01865577697754;0.00115273034572601;4.99198844977502;4;3.40079236030579;0.000762005776166916;5.38523425856555;NA
BM01_cl_dw_cluster_242_QSM;6.21774959564209;0.00371842956542969;7.70174831349325;4;3.05818128585815;0.00205224800109863;8.83592573630336;NA
