"plot";"element";"reference_volume";"detectable_volume";"detected_volume"
"07_04";1;0,017843804;0,0097951823356;0
"07_04";2;0,045367412;0,04587985687475;0,0292951064215
"07_04";3;0,041000794;0,0290859233388833;0,00399358771205
"07_04";4;0,151437019;0,0636455664963331;0,0594094519859164
"07_04";5;0,098056037;0,0736779923606833;0,0490280056394167
"07_04";6;0,003389138;0,00602117526455;0,00602117526455
"07_04";7;0,020805212;0,03510757666465;0,00372196962936667
"07_04";9;0,010768423;0,0364819326165167;0
"07_04";10;0,028647704;0,227231027613717;0
"07_04";16;0,01571423;0,00793841597440003;0,00793841597440003
"07_04";19;0,03796195;0,3347030567976;0
"07_04";20;0,012354982;0,291827001930933;0
"07_04";21;0,008968381;0,0351863338492834;0
"BM01";1;0,018905631;0,0022936793127;0,0005942098739
"BM01";2;0,020074399;0,00691112614805009;0,00540723407785
"BM01";3;0,004881348;0,00201380159385;0
"BM01";4;0,021200966;0,0981821619013997;0,0116559222961833
"BM01";5;0,012892755;0,00725190743290003;0,0019337269646
"BM01";8;0,010508815;0,0114291743105333;0
"BM01";9;0,007327428;0,00128980723989999;0,00128980723989999
"BM01";10;0,026601184;0,0246168603834667;0,0246168603834667
"BM01";11;0,003689742;0,0213960267799166;0
"BM01";12;1,68322549;0,40619250910035;0
"BM01";13;0,047026506;0,175503208848983;0
"BM01";14;0,034454191;0,0539471607364334;0,0539471607364334
"BM01";16;0,012170377;0,00309106152883333;0,00309106152883333
"BM02";1;0,009382542;0,00430210530951667;0,00430210530951667
"BM02";2;0,033486305;0,0231185403381;0,01809204467555
"BM02";3;0,012183163;0,00509236700511666;0
"BM02";4;0,012003837;0,0526824752147834;0,0526824752147834
"BM02";5;0,004173038;0,00672132894703334;0
"BM02";7;0,057949434;0,0552255695399167;0,0552255695399167
"BM02";8;0,103935963;0,0105369382547167;0,00898456878556667
"BM02";9;0,302217464;0,233831204863116;0
"BM02";10;0,01867459;0,0250929110138;0,0103633413634666
"BM02";11;0,012334986;0,0092998154736;0
"BM02";12;0,020070168;0,0134642153010834;0,00655771256486668
"BM02";13;0,018793914;0,0683907885304498;0,0201517507525331
"BM03";1;0,02287858;0,0221390510796167;0,01547402406725
"BM03";2;0,044091808;0,0579872596182667;0,0310642203591833
"BM03";3;0,019318346;0,00983445050008333;0,00983445050008333
"BM03";4;0,077674332;0,0788346166788167;0,0788346166788167
"BM03";5;0,019436201;0,0204811714972167;0,0204811714972167
"BM03";6;0,0068819;0,0236306515267833;0,0204811714972167
"BM03";7;0,009839811;0,01116504707775;0,01116504707775
"BM03";8;0,009838537;0,0204811714972167;0,0204811714972167
"BM03";9;0,123114637;0,0332043178143167;0,0332043178143167
"BM03";10;0,575933272;0,342266893797766;0,0955509983461997
"BM03";14;0,040958745;0,00778954141639999;0
"BM03";15;0,131639989;0,145413604538333;0,0145953164761
"BM03";16;0,007854615;0,01356373236425;0,01356373236425
"BM03";17;0,013949437;0,00854777578225006;0,00334514003128333
"BM03";18;0,016643241;0,00978400986814999;0,00507461745096666
"BM03";19;0,011460854;0,0073170104739167;0
"BM03";20;0,093534357;0,0837892958271;0,0766158203818166
"BM04";1;0,00738845;0,0134549404961;0
"BM04";2;0,009169274;0,00899550984124999;0
"BM04";3;0,076717656;0,0210568651669664;0,0210568651669664
"BM04";4;0,076698317;0,0186118883157333;0,0152801117660833
"BM04";5;0,014654921;0,00277101980131667;0,00277101980131667
"BM04";6;0,016117432;0,0444561490624828;0,0444561490624828
"BM04";7;0,028586827;0,00715496670394999;0
"BM04";9;0,025837102;0,119659867543333;0
"BM04";10;0,010894472;0,00135264474963333;0,00135264474963333
"BM04";11;0,06619805;0,0407924044855;0,0407924044855
"BM04";12;0,205862656;0,140657543020583;0,140657543020583
"BM04";13;0,014296011;0,0268530922387167;0,0268530922387167
"BM04";14;0,013345427;0,01401564203005;0,00992733580548333
"BM04";15;0,040315614;0,00846144463046666;0,00846144463046666
"BM04";16;0,023834474;0,00519731044463337;0,00498026157716667
"BM04";17;0,146939652;0,0261787726969667;0,00156866745696666
"BM04";19;0,009162179;0,00475335632235;0,00475335632235
"BM04";21;1,314806492;0,0551028622363668;0,0551028622363668
"BM04";22;0,015000292;0,000936969475483331;0
"BM04";23;0,013020689;0,00707461118945;0,00410203635138333
"BM05";1;0,296240149;0,0725568344969667;0,0432010864803167
"BM05";2;0,008402504;0,00716969625881667;0,00524906490610001
"BM05";3;0,023371877;0,02049894570185;0
"BM05";4;0,013989142;0,01096707099835;0,01096707099835
"BM05";6;0,01807906;0,0164240317005;0,01335299809995
"BM05";7;0,030734889;0,00411477887218333;0,00411477887218333
"BM05";8;0,028620091;0,13936390529195;0,1346098293503
"BM05";10;0,050836932;0,0238842573935666;0,0238842573935666
"BM05";11;0,019101058;0,00960051601271665;0,00960051601271665
"BM06";2;0,007925067;0,0110943278404667;0,0110943278404667
"BM06";4;0,006152996;0,00914184749716668;0
"BM06";5;1,16634879;0,0814161587531167;0,0470308026257666
"BM06";6;0,01816021;0,0377417024486834;0
"BM06";7;0,23102657;0,01636725653695;0,01636725653695
"BM06";8;0,019071232;0,0467453850984501;0,0389468178237834
"BM06";9;0,009544039;0,01978834015595;0
"BM06";10;0,011781776;0,0236231270470167;0,00383478689106669
"BM06";11;0,016775859;0,0180690630418833;0,0114680377807
"BM06";12;0,026910568;0,00792864532061666;0,00792864532061666
"BM06";13;0,009270073;0,0112590920986667;0,00107968801750001
"BM06";14;0,009958351;0,0330261993264333;0,0227538425003167
"BM06";15;0,003288433;0,00458972836931667;0,00458972836931667
"BM06";16;0,007447165;0,0239080000276833;0,0239080000276833
"BM06";18;0,057497286;0,059241834178;0,0509479295317167
"BM06";19;0,004352225;0,0124272846381333;0,0124272846381333
"BM06";20;0,006072451;0,0140012578618;0,0140012578618
"BM07";1;0,059513683;0,0176806402895499;0,0176806402895499
"BM07";2;0,003382096;0,00740235612078336;0
"BM07";3;0,022431019;0,0116253969039167;0,0116253969039167
"BM07";4;0,005432372;0,00286200237433335;0,00286200237433335
"BM07";5;0,01143259;0,00918226989861671;0
"BM07";6;0,005669327;0,0032626301807;0,0032626301807
"BM07";7;0,012881166;0,232685976864134;0
"BM07";8;0,041905571;0,581219264317283;0
"BM07";9;0,012379894;0,0938632392238333;0,0938632392238333
"BM07";10;0,047531406;0,0938632392238333;0,0938632392238333
"BM07";11;0,033001505;0,0938632392238333;0,0938632392238333
"BM07";12;0,033596018;0,0938632392238333;0,0938632392238333
"BM07";13;0,027646956;0,0938632392238333;0,0938632392238333
"BM07";14;0,011261565;0,0938632392238333;0,0938632392238333
"BM07";15;0,041935338;0,0100379642897834;0,0100379642897834
"BM07";17;0,018239625;0,0228064203297333;0
"BM07";18;1,925825437;0,3569355026322;0,32085956170165
"BM07";19;0,023755706;0,0148923767208667;0,0148923767208667
"BM07";20;0,35;0,31766940126865;0,0138370991890001
"BM08";1;0,018473194;0,0182854905351333;0,00690255996571667
"BM08";2;0,017948579;0,0220236652913833;0,0220236652913833
"BM08";3;0,005388867;0,0020075256929;0,0020075256929
"BM08";9;0,018482133;0,00282988408056667;0
"BM08";10;0,014580172;0,04561682014665;0
"BM08";11;0,260933192;0,123673195988533;0,0657930346644167
"BM08";12;0,025255436;0,0048587368591;0,0048587368591
"BM08";13;0,018243944;0,0028467180207;0,0028467180207
"BM08";14;0,014844925;0,00920668093468333;0,00920668093468333
"BM08";15;0,019470643;0,00835669274394999;0
"BM08";16;0,274575514;0,0550131656882333;0,0472987950009167
"BM08";17;0,251779566;0,04765633409725;0,02499417453005
"BM08";18;0,031663186;0,0209556254415667;0,01324125475425
"BM08";19;0,021194536;0,04172989018435;0,04172989018435
"BM08";20;0,021834122;0,02906083769535;0,0216857281646667
"BM08";21;0,003550959;0,0199593685424333;0,0199593685424333
"BM08";22;0,052256699;0,0297137919324666;0,00663511306193327
"BM08";23;0,058452881;0,1011151603764;0,0857299981345499
"BM08";27;0,007585199;0,0104600375550336;0,0104600375550336
"BM08";29;0,175;0,0313002491789496;0
"BM08";30;0,006272734;0,00774496500856666;0
"BM08";31;0,004127816;0,115989978616433;0,115989978616433
"BM08";32;0,088725256;0,0248203454012504;0,0163953556670504
"BM08";33;0,003880052;0,0016818051441;0,0016818051441
"BM08";34;0,006822813;0,170360363119533;0,170360363119533
"BM08";35;0,00752523;0,0462518332800167;0,0462518332800167
"BM08";36;0,019064688;0,1482707815541;0,1482707815541
"BM08";37;0,005093754;0,00687710850186667;0,00687710850186667
"BM08";38;0,009670997;0,0138156276529;0,0138156276529
"BM08";40;0,175;0,0207065749671667;0,01411874694535
"BM08";41;0,005742125;0,00979744834448333;0,00979744834448333
"BM08";42;0,132075472;0,0531705935952834;0,0531705935952834
"BM08";43;0,01120932;0,02295014526055;0,02295014526055
"BM09";1;0,005556408;0,00774763131463334;0,00774763131463334
"BM09";2;0,007614264;0,0146386036164;0,0146386036164
"BM09";3;0,539117462;0,177695624322217;0,169580905216383
"BM09";5;0,026584181;0,0868613118061333;0,009493432759
"BM09";6;0,009462239;0,0408284136971834;0
"BM09";7;0,026754846;0,0123466045978667;0,0123466045978667
