plot,element,detected_clusters
BM11,1,510
BM11,2,368
BM11,3,
BM11,4,845
BM11,5,
BM11,6,
BM11,7,
BM11,8,972
BM11,9,
BM11,10,
BM11,11,
BM11,12,941
BM11,13,
