plot,element,detected_clusters
BM02,1,1372; 1633
BM02,2,1363; 1
BM02,3,
BM02,4,227
BM02,5,
BM02,6,
BM02,7,1119; 1120
BM02,8,1599
BM02,9,
BM02,10,270; 274
BM02,11,
BM02,12,1699
BM02,13,1020
