plot;element;detected_clusters
BM07;1;188
BM07;2;
BM07;3;"195; 264"
BM07;4;536
BM07;5;
BM07;6;822
BM07;7;
BM07;8;
BM07;9;222
BM07;10;222
BM07;11;222
BM07;12;222
BM07;13;222
BM07;14;222
BM07;15;"272; 273"
BM07;16;
BM07;17;
BM07;18;"18; 484; 503; 766; 753"
BM07;19;"124; 125; 372"
BM07;20;"858; 913; 914; 528"
