plot,element,detected_clusters
BM05,1,314; 317; 318; 349; 347; 326
BM05,2,1601
BM05,3,
BM05,4,514
BM05,5,
BM05,6,456
BM05,7,455
BM05,8,516
BM05,9,
BM05,10,112
BM05,11,227
