plot;element;detected_clusters
BM01;1;1247
BM01;2;"1226; 1242"
BM01;3;
BM01;4;1187
BM01;5;1449
BM01;6;
BM01;7;
BM01;8;
BM01;9;1301
BM01;10;1501
BM01;11;
BM01;12;
BM01;13;
BM01;14;702
BM01;15;
BM01;16;1459
