plot,element,detected_clusters
BM04,1,
BM04,2,
BM04,3,539; 554
BM04,4,531
BM04,5,535
BM04,6,617; 305
BM04,7,
BM04,8,
BM04,9,
BM04,10,174
BM04,11,170
BM04,12,63; 65; 66
BM04,13,172
BM04,14,165
BM04,15,121
BM04,16,120; 123
BM04,17,168
BM04,18,
BM04,19,167
BM04,20,
BM04,21,376; 594; 379; 720; 718; 17
BM04,22,
BM04,23,641
BM04,24,
