plot,element,detected_clusters
BM06,1,
BM06,2,480
BM06,3,
BM06,4,
BM06,5,79; 89; 90; 92; 78; 613; 100
BM06,6,
BM06,7,124; 115
BM06,8,589
BM06,9,
BM06,10,179
BM06,11,585; 586; 557; 558
BM06,12,696
BM06,13,515
BM06,14,519; 516
BM06,15,487
BM06,16,483
BM06,17,
BM06,18,393; 462
BM06,19,950; 1168
BM06,20,410; 369
