plot;element;detected_clusters
BM03;1;"40; 41"
BM03;2;"88; 402"
BM03;3;66
BM03;4;"80; 82; 74"
BM03;5;152
BM03;6;152
BM03;7;157
BM03;8;152
BM03;9;"374; 375; 306; 307; 308; 309; 325; 336"
BM03;10;"305; 255"
BM03;11;
BM03;12;
BM03;13;
BM03;14;
BM03;15;"14; 15; 16; 17"
BM03;16;"638; 542"
BM03;17;179
BM03;18;13
BM03;19;
BM03;20;"627; 697; 577; 695; 581"
