plot;element;detected_clusters
BM09;1;32
BM09;2;"550; 607"
BM09;3;"239; 247; 251; 246; 245; 242"
BM09;4;
BM09;5;"428; 429"
BM09;6;
BM09;7;"1003; 1004"
BM09;8;
BM09;9;
BM09;10;
