//X Y Z R G B PointSourceId ScanDirectionFlag NumberOfReturns ReturnNumber GpsTime Intensity Classification Nx Ny Nz
-4.36000013 -18.26000023 0.34000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.258172 0.950233 -0.174367
-4.32999992 -18.26000023 0.25000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.277876 0.912190 0.301154
-4.32999992 -18.26000023 0.25000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.277876 0.912190 0.301154
-4.30999994 -18.27000046 0.20999999 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.349140 0.930587 0.110040
-4.30000019 -18.27000046 0.16000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.488224 0.866847 -0.101061
-4.30999994 -18.27000046 0.15000001 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.608891 0.792812 0.026474
-4.34000015 -18.26000023 0.23000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.174654 0.955933 0.235983
-4.36000013 -18.27000046 0.20999999 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.053799 0.995838 0.073562
-4.34000015 -18.27000046 0.17000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.328325 0.922438 0.203249
-4.36999989 -18.26000023 0.18000001 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.023294 0.999613 0.015192
-4.36000013 -18.25000000 0.17000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.056165 0.981090 0.185224
-4.32999992 -18.27000046 0.15000001 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.190503 0.963025 -0.190503
-4.36000013 -18.26000023 0.17000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.101517 0.985307 -0.137346
-4.36000013 -18.26000023 0.17000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.101517 0.985307 -0.137346
-4.30999994 -18.28000069 0.20999999 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.689620 0.707807 0.153080
-4.32999992 -18.28000069 0.20000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.153962 0.984639 -0.082352
-4.32999992 -18.28000069 0.18000001 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.537255 0.782766 0.314063
-4.40999985 -18.26000023 0.44999999 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.685373 0.727593 -0.029554
-4.40000010 -18.25000000 0.36000001 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.390796 0.857279 -0.335188
-4.38999987 -18.26000023 0.36000001 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.477650 0.862710 -0.166075
-4.42000008 -18.27000046 0.33000001 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.092458 0.988952 -0.115865
-4.40999985 -18.28000069 0.37000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.393280 0.898303 -0.195914
-4.40999985 -18.28000069 0.37000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.393280 0.898303 -0.195914
-4.40000010 -18.29000092 0.37000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.171641 0.984311 -0.040867
-4.40999985 -18.28000069 0.36000001 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.648304 0.760808 0.029532
-4.44000006 -18.29000092 0.38999999 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.087989 0.982339 0.165129
-4.44999981 -18.35000038 0.34999999 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.736423 0.657467 -0.159432
-4.46000004 -18.29999924 0.47000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.428867 0.890725 0.150606
-4.48000002 -18.29000092 0.41999999 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.275898 0.924902 0.261603
-4.48000002 -18.29000092 0.38000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.246909 0.907279 -0.340412
-4.46999979 -18.28000069 0.40000001 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.228654 0.972087 0.052578
-4.48000002 -18.29000092 0.37000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.484720 0.816287 0.314200
-4.46999979 -18.29000092 0.38999999 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.326925 0.900893 -0.285505
-4.48000002 -18.28000069 0.40000001 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.363847 0.930982 -0.029781
-4.46000004 -18.35000038 0.37000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.722037 0.690952 -0.035325
-4.40000010 -18.26000023 0.31000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.143333 0.981279 -0.128632
-4.40000010 -18.26000023 0.28999999 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.272554 0.943667 0.187638
-4.40000010 -18.26000023 0.31000000 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.143333 0.981279 -0.128632
-4.40000010 -18.26000023 0.28999999 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.272554 0.943667 0.187638
-4.42999983 -18.27000046 0.31999999 242 7 131 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 99.000000 0.284992 0.940337 -0.185865
