//X Y Z R G B PointSourceId UserData EdgeOfFlightLine ScanDirectionFlag NumberOfReturns ReturnNumber GpsTime Intensity Classification Nx Ny Nz
-15.93999958 2.27999997 0.64999998 152 138 110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.000000 0.959157 -0.233522 -0.159640
-15.93999958 2.27999997 0.64999998 152 138 110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.000000 0.959157 -0.233522 -0.159640
-16.11000061 2.28999996 0.62000000 152 138 110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.000000 0.968367 -0.232962 0.089407
-16.11000061 2.28999996 0.62000000 152 138 110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.000000 0.968367 -0.232962 0.089407
-16.04000092 2.27999997 0.55000001 152 138 110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.000000 0.843545 0.142302 -0.517863
-16.06999969 2.32999992 0.60000002 152 138 110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.000000 0.986263 0.160716 0.038156
-16.09000015 2.31999993 0.60000002 152 138 110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.000000 0.962680 -0.166341 -0.213492
-16.09000015 2.31999993 0.60000002 152 138 110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.000000 0.962680 -0.166341 -0.213492
-16.06999969 2.31999993 0.58999997 152 138 110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.000000 0.972602 0.205090 0.109465
-16.07999992 2.31999993 0.56999999 152 138 110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.000000 0.908836 -0.130234 -0.396303
-16.05999947 2.30999994 0.58999997 152 138 110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.000000 0.975941 0.192212 0.102926
-16.06999969 2.28999996 0.56999999 152 138 110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.000000 0.956389 -0.149892 -0.250704
-16.09000015 2.29999995 0.47999999 152 138 110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.000000 0.974589 0.116350 -0.191415
-16.14999962 2.38000011 0.55000001 152 138 110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.000000 0.974951 0.213537 0.062231
